"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.739,0.6941,0.705,0.8648,0.6941
"Exp02",0.7347,0.7396,0.7326,0.8052,0.769
"Exp03",0.739,0.6941,0.7546,0.8648,0.6941
"Exp04",0.7347,0.7396,0.987,0.8052,0.6019
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",0.6751,0.747,0.7587,0.8015,0.7148
"Exp12",0.6876,0.7597,0.7103,0.7184,0.5935
"Exp13",0.6886,0.6191,0.6252,0.7057,0.5854
"Exp14",0.7706,0.747,0.808,0.8015,0.6867
"Exp15",0.7082,0.7659,0.7103,0.6946,0.6967
"Exp16",0.5785,0.5447,0.8308,0.862,0.5854
"Exp17",0.7092,0.6927,0.7706,0.7387,0.7416
"Exp18",0.7092,0.6927,0.7706,0.7387,0.7416
"Exp19",0.8191,0.6927,0.7706,0.7387,0.7416
"Exp20",0.934,0.7231,0.6011,0.81,0.6903
"Exp21",0.7683,0.721,0.7344,0.81,0.6903
"Exp22",0.9337,0.7036,0.5632,0.81,0.6924
"Exp23",0.8132,0.721,0.7344,0.81,0.693
"Exp24",0.9337,0.7036,0.5632,0.81,0.6924
"Exp25",0.9182,0.7036,0.7363,0.812,0.6897
"Exp26",0.9337,0.7036,0.6208,0.81,0.6919
"Exp27",0.9337,0.7036,0.5632,0.81,0.6924
"Exp28",0.9337,0.7231,0.7996,0.81,0.6903
"Exp29",0.9182,0.7036,0.7363,0.812,0.9586
"Exp30",0.8492,0.6774,0.7473,0.8724,0.9577
"Exp31",0.8616,0.715,0.5658,0.7511,0.6861
"Exp32",0.8616,0.715,0.5658,0.8166,0.6861
"Exp33",0.6776,0.7253,0.7168,0.812,0.7545
"Exp34",0.7913,0.9683,0.756,0.9054,0.6903
"Exp35",0.7908,0.7112,0.7146,0.72,0.9586
"Exp36",0.7472,0.6997,0.756,0.812,0.6933
"Exp37",0.7908,0.7112,0.7703,0.812,0.9586
"Exp38",0.6958,0.708,0.7092,0.812,0.9586
"Exp39",0.7908,0.7112,0.8513,0.812,0.782
"Exp40",0.7892,0.7112,0.8513,0.7219,0.7004
"Exp41",0.6805,0.7253,0.7949,0.812,0.693
"Exp42",0.9497,0.7322,0.7103,0.812,0.7359
"Exp43",0.7917,0.7207,0.7473,0.8915,0.7293
"Exp44",0.7483,0.7014,0.584,0.8203,0.9402
"Exp45",0.7655,0.7092,0.5737,0.7462,0.7415
"Exp46",0.7541,0.7217,0.5818,0.8493,0.7291
"Exp47",0.7567,0.7388,0.5723,0.8522,0.9854
"Exp48",0.7683,0.7217,0.5743,0.8274,0.7174
"Exp49",0.8046,0.7179,0.5765,0.8522,0.9713
"Exp50",0.7683,0.7217,0.5743,0.8274,0.9677
"Exp51",0.7607,0.7179,0.5805,0.8516,0.7023
"Exp52",0.7683,0.7205,0.5919,0.8469,0.7164
"Exp53",0.7683,0.7257,0.5754,0.8274,0.7164
"Exp54",0.7571,0.7162,0.5723,0.7349,0.7218
"Exp55",0.7607,0.7179,0.5766,0.8469,0.7023
"Exp56",0.8096,0.7179,0.7473,0.7342,0.6901
"Exp57",0.8096,0.6766,0.5761,0.8094,0.9402
"Exp58",0.8096,0.6963,0.5768,0.8094,0.6871
"Exp59",0.7541,0.7011,0.5743,0.8699,0.9854
"Exp60",0.652,0.735,0.7092,0.8792,0.7168
"Exp61",0.7502,0.7129,0.5771,0.8118,0.834
"Exp62",0.8046,0.6218,0.7906,0.9546,0.7153
"Exp63",0.9497,0.6674,0.6825,0.7388,0.7065
"Exp64",0.7607,0.7106,0.8197,0.9546,0.9716
"Exp65",0.9497,0.7162,0.5771,0.7231,0.7045
"Exp66",0.7571,0.7162,0.6695,0.8118,0.9677
"Exp67",0.9497,0.7162,0.5741,0.7231,0.7483
"Exp68",0.7607,0.6486,0.5741,0.8764,0.7897
"Exp69",0.7708,0.7492,0.7473,0.8764,0.9577
"Exp70",0.7483,0.9533,0.6538,0.8166,0.7998
"Exp71",0.7708,0.7179,0.5796,0.7658,0.6861
"Exp72",0.7642,0.7435,0.7767,0.8417,0.7023
"Exp73",0.8753,0.7227,0.7587,0.81,0.9586
"Exp74",0.7642,0.721,0.7438,0.8208,0.701
"Exp75",0.766,0.721,0.7368,0.81,0.7048
"Exp76",0.7691,0.7101,0.7342,0.8617,0.7331
"Exp77",0.9181,0.7661,0.7587,0.8576,0.7998
"Exp78",0.7683,0.7289,0.7103,0.9546,0.7031
"Exp79",0.6721,0.9683,0.786,0.81,0.6945
"Exp80",0.934,0.7231,0.7508,0.81,0.7023
"Exp81",0.8005,0.5576,0.7328,0.8769,0.9308
"Exp82",0.7642,0.721,0.7587,0.8295,0.6945
"Exp83",0.8005,0.5576,0.7328,0.8769,0.9308
"Exp84",0.6963,0.708,0.7586,0.8105,0.7004
"Exp85",0.8005,0.5576,0.6023,0.8769,0.9151
"Exp86",0.7527,0.7231,0.7368,0.9054,0.7403
"Exp87",0.8005,0.5576,0.6023,0.8769,0.9151
