"ExpID","off1","off2","off3","off4","off5"
"Exp01",4,4,4,4,4
"Exp02",4,4,4,4,4
"Exp03",4,4,4,4,4
"Exp04",4,4,4,4,4
"Exp05",5,5,4,2,3
"Exp06",18,15,17,15,15
"Exp07",16,29,33,34,32
"Exp08",4,4,4,4,4
"Exp09",4,4,4,4,4
"Exp10",4,4,4,4,4
"Exp11",4,4,4,4,4
"Exp12",4,4,4,4,4
"Exp13",4,4,4,4,4
"Exp14",4,4,4,4,4
"Exp15",4,4,4,4,4
"Exp16",4,4,4,4,4
"Exp17",2,2,2,2,2
"Exp18",2,2,2,2,2
"Exp19",3,2,2,2,2
"Exp20",4,4,4,4,4
"Exp21",4,4,4,4,4
"Exp22",4,4,4,4,4
"Exp23",4,4,4,4,4
"Exp24",4,4,4,4,4
"Exp25",4,4,4,4,4
"Exp26",4,4,4,4,4
"Exp27",4,4,4,4,4
"Exp28",4,4,4,4,4
"Exp29",4,4,4,4,4
"Exp30",4,4,4,4,4
"Exp31",4,4,4,4,4
"Exp32",4,4,4,4,4
"Exp33",4,4,4,4,4
"Exp34",4,4,4,4,4
"Exp35",4,4,4,4,4
"Exp36",4,4,4,4,4
"Exp37",4,4,4,4,4
"Exp38",4,4,4,4,4
"Exp39",4,4,4,4,4
"Exp40",4,4,4,4,4
"Exp41",4,4,4,4,4
"Exp42",4,4,4,4,4
"Exp43",4,4,4,4,4
"Exp44",4,4,4,4,4
"Exp45",4,4,4,4,4
"Exp46",4,4,4,4,4
"Exp47",4,4,4,4,4
"Exp48",4,4,4,4,4
"Exp49",4,4,4,4,4
"Exp50",4,4,4,4,4
"Exp51",4,4,4,4,4
"Exp52",4,4,4,4,4
"Exp53",4,4,4,4,4
"Exp54",4,4,4,4,4
"Exp55",4,4,4,4,4
"Exp56",4,4,4,4,4
"Exp57",4,4,4,4,4
"Exp58",4,4,4,4,4
"Exp59",4,4,4,4,4
"Exp60",4,4,4,4,4
"Exp61",4,4,4,4,4
"Exp62",4,4,4,4,4
"Exp63",4,4,4,4,4
"Exp64",4,4,4,4,4
"Exp65",4,4,4,4,4
"Exp66",4,4,4,4,4
"Exp67",4,4,4,4,4
"Exp68",4,4,4,4,4
"Exp69",4,4,4,4,4
"Exp70",4,4,4,4,4
"Exp71",4,4,4,4,4
"Exp72",4,4,4,4,4
"Exp73",4,4,4,4,4
"Exp74",4,4,4,4,4
"Exp75",4,4,4,4,4
"Exp76",4,4,4,4,4
"Exp77",4,4,4,4,4
"Exp78",4,4,4,4,4
"Exp79",4,4,4,4,4
"Exp80",4,4,4,4,4
"Exp81",4,4,4,4,4
"Exp82",4,4,4,4,4
"Exp83",4,4,4,4,4
"Exp84",4,4,4,4,4
"Exp85",4,4,4,4,4
"Exp86",4,4,4,4,4
"Exp87",4,4,4,4,4
