"ExpID","off1","off2","off3","off4","off5"
"Exp01",100,100,100,100,100
"Exp02",50,50,50,50,50
"Exp03",100,100,100,100,100
"Exp04",50,50,50,50,50
"Exp05",81,138,177,209,234
"Exp06",56,102,141,179,197
"Exp07",26,58,77,101,112
"Exp08",81,138,177,209,234
"Exp09",56,102,141,179,197
"Exp10",26,58,77,101,112
"Exp11",81,138,177,209,234
"Exp12",56,102,141,179,197
"Exp13",26,58,77,101,112
"Exp14",81,138,177,209,234
"Exp15",56,102,141,179,197
"Exp16",26,58,77,101,112
"Exp17",27,31,34,34,36
"Exp18",27,31,34,34,36
"Exp19",24,31,34,34,36
"Exp20",100,100,100,100,100
"Exp21",200,200,200,200,200
"Exp22",100,99,100,100,100
"Exp23",199,199,200,200,200
"Exp24",99,99,100,100,100
"Exp25",100,100,100,100,100
"Exp26",100,99,100,100,100
"Exp27",99,99,100,100,100
"Exp28",100,100,100,100,100
"Exp29",99,100,100,100,100
"Exp30",50,50,50,50,50
"Exp31",50,49,50,50,49
"Exp32",50,49,50,50,49
"Exp33",100,100,100,100,100
"Exp34",200,200,200,200,200
"Exp35",100,99,100,100,100
"Exp36",199,199,200,200,200
"Exp37",99,99,100,100,100
"Exp38",100,100,100,100,100
"Exp39",100,99,100,100,100
"Exp40",99,99,100,100,100
"Exp41",100,100,100,100,100
"Exp42",99,100,100,100,100
"Exp43",50,50,50,50,50
"Exp44",50,49,50,50,49
"Exp45",50,49,50,50,49
"Exp46",100,100,100,100,100
"Exp47",158,170,168,171,166
"Exp48",100,99,100,100,100
"Exp49",156,167,164,169,164
"Exp50",99,99,100,100,100
"Exp51",100,100,100,100,100
"Exp52",100,100,99,100,100
"Exp53",99,99,100,100,100
"Exp54",100,100,100,100,100
"Exp55",99,99,100,100,100
"Exp56",50,50,50,50,50
"Exp57",50,49,50,50,49
"Exp58",50,49,50,50,49
"Exp59",100,100,100,100,100
"Exp60",160,168,164,166,161
"Exp61",100,99,100,100,100
"Exp62",153,163,162,164,163
"Exp63",99,99,100,100,100
"Exp64",100,100,100,100,100
"Exp65",100,99,99,100,100
"Exp66",99,99,100,100,100
"Exp67",100,100,100,100,100
"Exp68",99,100,100,100,100
"Exp69",50,50,50,50,50
"Exp70",50,49,50,50,49
"Exp71",50,49,50,50,49
"Exp72",100,100,100,100,100
"Exp73",100,100,100,100,100
"Exp74",500,500,500,500,500
"Exp75",494,500,500,500,500
"Exp76",100,100,100,100,100
"Exp77",100,100,100,100,100
"Exp78",500,500,500,500,500
"Exp79",497,500,500,500,500
"Exp80",100,100,100,100,100
"Exp81",100,100,100,100,100
"Exp82",500,500,500,500,500
"Exp83",500,500,500,500,500
"Exp84",100,100,100,100,100
"Exp85",100,100,100,100,100
"Exp86",500,500,500,500,500
"Exp87",500,500,500,500,500
