"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.831,0.9018,0.9857,0.8025,0.8775
"Exp02",0.894,0.822,0.9853,0.9627,0.9697
"Exp03",0.831,0.9018,0.9857,0.8025,0.8775
"Exp04",0.894,0.822,0.9853,0.9627,0.9697
"Exp05",0.38,0.37,0.4,0.35,0.34
"Exp06",0.38,0.37,0.4,0.35,0.34
"Exp07",0.6837,0.4337,0.4,0.6768,0.6717
"Exp08",0.38,0.37,0.4,0.35,0.34
"Exp09",0.38,0.37,0.4,0.35,0.34
"Exp10",0.8457,0.4337,0.4,0.8359,0.6717
"Exp11",0.38,0.37,0.4,0.35,0.34
"Exp12",0.38,0.37,0.4,0.35,0.34
"Exp13",0.9299,0.9684,0.9609,0.9397,0.9619
"Exp14",0.38,0.37,0.4,0.35,0.34
"Exp15",0.38,0.37,0.4,0.35,0.34
"Exp16",0.9291,0.9502,0.9609,0.9592,0.9619
"Exp17",0.382,0.5189,0.5152,0.3863,0.4205
"Exp18",0.382,0.5189,0.5152,0.3863,0.4205
"Exp19",0.382,0.5189,0.5152,0.3863,0.4205
"Exp20",0.9291,0.9684,0.9459,0.9602,0.9503
"Exp21",0.9184,0.9684,0.9609,0.9596,0.9503
"Exp22",0.9188,0.9684,0.9609,0.9602,0.9503
"Exp23",0.9184,0.9684,0.9609,0.9596,0.9503
"Exp24",0.9188,0.9684,0.9619,0.9602,0.9503
"Exp25",0.9291,0.9684,0.9609,0.9596,0.9503
"Exp26",0.9188,0.9684,0.9609,0.9602,0.9503
"Exp27",0.9188,0.9684,0.9609,0.9602,0.9503
"Exp28",0.9291,0.9684,0.9537,0.9602,0.9503
"Exp29",0.9291,0.9684,0.9609,0.9596,0.9503
"Exp30",0.9002,0.9785,0.9348,0.9602,0.9619
"Exp31",0.9178,0.9785,0.9316,0.9602,0.9444
"Exp32",0.9178,0.9785,0.9316,0.9602,0.9444
"Exp33",0.9291,0.9684,0.9386,0.9696,0.9503
"Exp34",0.7923,0.7978,0.9696,0.9696,0.9503
"Exp35",0.9188,0.9684,0.9696,0.9602,0.9503
"Exp36",0.7923,0.9684,0.9696,0.8119,0.9503
"Exp37",0.9188,0.8151,0.9696,0.9602,0.9503
"Exp38",0.9291,0.9684,0.7814,0.9696,0.9503
"Exp39",0.9188,0.9684,0.7814,0.9602,0.9503
"Exp40",0.9188,0.9684,0.9696,0.8286,0.9503
"Exp41",0.9291,0.9684,0.9609,0.9696,0.9503
"Exp42",0.9291,0.9684,0.9696,0.9696,0.7941
"Exp43",0.9002,0.9785,0.9275,0.9602,0.7917
"Exp44",0.9178,0.9785,0.9316,0.9602,0.7917
"Exp45",0.9178,0.9785,0.9316,0.8338,0.9444
"Exp46",0.9423,0.9614,0.9316,0.9596,0.9503
"Exp47",0.9423,0.9785,0.9348,0.9596,0.9454
"Exp48",0.9511,0.9785,0.7038,0.9619,0.9534
"Exp49",0.9644,0.9785,0.9275,0.9706,0.9619
"Exp50",0.9388,0.9785,0.7619,0.9619,0.9503
"Exp51",0.9511,0.7359,0.9459,0.9537,0.9503
"Exp52",0.9511,0.9785,0.9352,0.9619,0.9619
"Exp53",0.9365,0.9785,0.9386,0.9619,0.9619
"Exp54",0.9184,0.9785,0.9316,0.9596,0.9619
"Exp55",0.9563,0.9785,0.9459,0.9537,0.9503
"Exp56",0.9563,0.9785,0.9275,0.9602,0.9619
"Exp57",0.9377,0.9785,0.9316,0.9602,0.9619
"Exp58",0.9377,0.9785,0.9316,0.9602,0.9619
"Exp59",0.9423,0.8164,0.9316,0.9596,0.9619
"Exp60",0.9557,0.9785,0.7569,0.8328,0.9454
"Exp61",0.9563,0.8151,0.8919,0.9504,0.9619
"Exp62",0.9644,0.9697,0.925,0.9333,0.9534
"Exp63",0.9563,0.9785,0.9726,0.831,0.9619
"Exp64",0.9644,0.9785,0.9316,0.9504,0.7396
"Exp65",0.9563,0.9785,0.9434,0.9504,0.9619
"Exp66",0.9563,0.9785,0.8919,0.9504,0.9619
"Exp67",0.9423,0.9785,0.9316,0.9596,0.9619
"Exp68",0.8896,0.9785,0.8246,0.9406,0.7396
"Exp69",0.9563,0.9785,0.9275,0.9602,0.9444
"Exp70",0.9377,0.9785,0.9611,0.9602,0.9619
"Exp71",0.9178,0.9785,0.9611,0.8338,0.9619
"Exp72",0.9377,0.9591,0.9687,0.9594,0.9503
"Exp73",0.9511,0.9591,0.952,0.9502,0.9599
"Exp74",0.9511,0.9785,0.9706,0.9491,0.9503
"Exp75",0.9291,0.9502,0.9609,0.9696,0.9503
"Exp76",0.9365,0.9603,0.9426,0.9492,0.9413
"Exp77",0.9377,0.9417,0.949,0.8097,0.9505
"Exp78",0.9184,0.9688,0.9696,0.9592,0.9503
"Exp79",0.9291,0.8151,0.9706,0.9694,0.9606
"Exp80",0.9291,0.9684,0.9459,0.9602,0.9503
"Exp81",0.9395,0.9535,0.6587,0.8434,0.8906
"Exp82",0.9291,0.9684,0.9609,0.9592,0.9503
"Exp83",0.9395,0.9535,0.6587,0.9706,0.8906
"Exp84",0.9188,0.9785,0.9386,0.9696,0.9503
"Exp85",0.9395,0.9535,0.6773,0.8434,0.8906
"Exp86",0.9291,0.9684,0.9706,0.9592,0.9599
"Exp87",0.9395,0.9535,0.6773,0.9706,0.8906
