"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.802,0.8218,0.912,0.8407,0.8151
"Exp02",0.6604,0.7432,0.9205,0.8433,0.9132
"Exp03",0.802,0.8218,0.912,0.8407,0.8151
"Exp04",0.6604,0.7432,0.9205,0.8433,0.9132
"Exp05",0,0,0,0,0
"Exp06",0,0,0,0,0
"Exp07",-0.0041,-0.0027,0,-4e-04,-4e-04
"Exp08",0,0,0,0,0
"Exp09",0,0,0,0,0
"Exp10",0.0025,-0.0027,0,-0.001,-4e-04
"Exp11",0,0,0,0,0
"Exp12",0,0,0,0,0
"Exp13",0.799,0.913,0.878,0.833,0.884
"Exp14",0,0,0,0,0
"Exp15",0,0,0,0,0
"Exp16",0.7987,0.8538,0.878,0.8853,0.884
"Exp17",-0.0029,-0.0025,-0.008,-0.0031,-0.0019
"Exp18",-0.0029,-0.0025,-0.008,-0.0031,-0.0019
"Exp19",-0.0029,-0.0025,-0.008,-0.0031,-0.0019
"Exp20",0.7987,0.913,0.8223,0.8853,0.8573
"Exp21",0.7747,0.913,0.878,0.8862,0.8573
"Exp22",0.7744,0.913,0.878,0.8853,0.8573
"Exp23",0.7747,0.913,0.878,0.8862,0.8573
"Exp24",0.7744,0.913,0.8778,0.8853,0.8573
"Exp25",0.7987,0.913,0.878,0.8862,0.8573
"Exp26",0.7744,0.913,0.878,0.8853,0.8573
"Exp27",0.7744,0.913,0.878,0.8853,0.8573
"Exp28",0.7987,0.913,0.8496,0.8853,0.8573
"Exp29",0.7987,0.913,0.878,0.8862,0.8573
"Exp30",0.7346,0.9442,0.7939,0.8853,0.8826
"Exp31",0.7792,0.9442,0.7663,0.8853,0.8298
"Exp32",0.7792,0.9442,0.7663,0.8853,0.8298
"Exp33",0.7987,0.913,0.796,0.9128,0.8573
"Exp34",0.4264,0.4116,0.9072,0.9128,0.8573
"Exp35",0.7744,0.913,0.9072,0.8853,0.8573
"Exp36",0.4264,0.913,0.9072,0.4249,0.8573
"Exp37",0.7744,0.4179,0.9072,0.8853,0.8573
"Exp38",0.7987,0.913,0.3983,0.9128,0.8573
"Exp39",0.7744,0.913,0.3983,0.8853,0.8573
"Exp40",0.7744,0.913,0.9072,0.4318,0.8573
"Exp41",0.7987,0.913,0.878,0.9128,0.8573
"Exp42",0.7987,0.913,0.9072,0.9128,0.4208
"Exp43",0.7346,0.9442,0.7681,0.8853,0.424
"Exp44",0.7792,0.9442,0.7663,0.8853,0.424
"Exp45",0.7792,0.9442,0.7663,0.4679,0.8298
"Exp46",0.8243,0.8832,0.7663,0.8862,0.8573
"Exp47",0.8243,0.9442,0.7939,0.8862,0.8321
"Exp48",0.8538,0.9442,0.4009,0.8863,0.8575
"Exp49",0.8803,0.9442,0.7681,0.9133,0.884
"Exp50",0.8334,0.9442,0.5088,0.8863,0.8573
"Exp51",0.8538,0.4956,0.8206,0.8551,0.8573
"Exp52",0.8538,0.9442,0.7937,0.8863,0.884
"Exp53",0.8329,0.9442,0.793,0.8863,0.884
"Exp54",0.7747,0.9442,0.7663,0.8862,0.884
"Exp55",0.8543,0.9442,0.8206,0.8551,0.8573
"Exp56",0.8543,0.9442,0.7681,0.8853,0.8826
"Exp57",0.8277,0.9442,0.7663,0.8853,0.8826
"Exp58",0.8277,0.9442,0.7663,0.8853,0.8826
"Exp59",0.8243,0.423,0.7663,0.8862,0.884
"Exp60",0.8504,0.9442,0.3926,0.4532,0.8321
"Exp61",0.8543,0.4179,0.5992,0.86,0.884
"Exp62",0.8803,0.9132,0.7464,0.8107,0.8575
"Exp63",0.8543,0.9442,0.9074,0.4381,0.884
"Exp64",0.8803,0.9442,0.7663,0.86,0.5586
"Exp65",0.8543,0.9442,0.8215,0.86,0.884
"Exp66",0.8543,0.9442,0.5992,0.86,0.884
"Exp67",0.8243,0.9442,0.7663,0.8862,0.884
"Exp68",0.7071,0.9442,0.4236,0.8302,0.5586
"Exp69",0.8543,0.9442,0.7681,0.8853,0.8298
"Exp70",0.8277,0.9442,0.88,0.8853,0.8826
"Exp71",0.7792,0.9442,0.88,0.4679,0.8826
"Exp72",0.8277,0.8829,0.907,0.8863,0.8573
"Exp73",0.8538,0.8829,0.8503,0.8583,0.8839
"Exp74",0.8538,0.9442,0.9072,0.86,0.8573
"Exp75",0.7987,0.8538,0.878,0.9128,0.8573
"Exp76",0.8293,0.847,0.8207,0.8588,0.827
"Exp77",0.8277,0.8257,0.8495,0.4271,0.8555
"Exp78",0.7747,0.9177,0.9072,0.8853,0.8573
"Exp79",0.7987,0.4179,0.9072,0.9133,0.8825
"Exp80",0.7987,0.913,0.8223,0.8853,0.8573
"Exp81",0.7978,0.8542,0.3494,0.4882,0.6609
"Exp82",0.7987,0.913,0.878,0.8853,0.8573
"Exp83",0.7978,0.8542,0.3494,0.911,0.6609
"Exp84",0.7744,0.9442,0.796,0.9128,0.8573
"Exp85",0.7978,0.8542,0.3465,0.4882,0.6609
"Exp86",0.7987,0.913,0.9072,0.8853,0.8839
"Exp87",0.7978,0.8542,0.3465,0.911,0.6609
