"ExpID","off1","off2","off3","off4","off5"
"Exp01",100,100,100,100,100
"Exp02",50,50,50,50,50
"Exp03",100,100,100,100,100
"Exp04",50,50,50,50,50
"Exp05",1,1,1,1,1
"Exp06",1,1,1,1,1
"Exp07",143,249,272,306,294
"Exp08",1,1,1,1,1
"Exp09",1,1,1,1,1
"Exp10",143,249,272,306,294
"Exp11",1,1,1,1,1
"Exp12",1,1,1,1,1
"Exp13",143,249,272,306,294
"Exp14",1,1,1,1,1
"Exp15",1,1,1,1,1
"Exp16",143,249,272,306,294
"Exp17",7,8,7,7,7
"Exp18",7,8,7,7,7
"Exp19",7,8,7,7,7
"Exp20",100,100,100,100,100
"Exp21",200,200,200,200,200
"Exp22",100,100,100,99,99
"Exp23",200,199,200,200,200
"Exp24",100,100,100,99,99
"Exp25",100,100,100,100,99
"Exp26",100,100,100,99,99
"Exp27",100,100,100,99,99
"Exp28",100,100,100,100,100
"Exp29",100,100,100,100,99
"Exp30",50,50,50,50,50
"Exp31",50,50,50,50,50
"Exp32",50,50,50,50,50
"Exp33",100,100,100,100,100
"Exp34",200,200,200,200,200
"Exp35",100,100,100,99,99
"Exp36",200,199,200,200,200
"Exp37",100,100,100,99,99
"Exp38",100,100,100,100,99
"Exp39",100,100,100,99,99
"Exp40",100,100,100,99,99
"Exp41",100,100,100,100,100
"Exp42",100,100,100,100,99
"Exp43",50,50,50,50,50
"Exp44",50,50,50,50,50
"Exp45",50,50,50,50,50
"Exp46",100,100,100,100,100
"Exp47",128,120,119,122,115
"Exp48",100,100,100,99,99
"Exp49",114,119,159,116,163
"Exp50",100,100,100,100,99
"Exp51",100,100,100,100,100
"Exp52",100,100,100,99,99
"Exp53",100,100,100,100,99
"Exp54",100,100,100,100,100
"Exp55",100,100,100,100,100
"Exp56",50,50,50,50,50
"Exp57",50,50,50,50,50
"Exp58",50,50,50,50,50
"Exp59",100,100,100,100,100
"Exp60",164,168,166,164,167
"Exp61",100,100,100,99,99
"Exp62",164,164,159,118,165
"Exp63",100,100,100,99,99
"Exp64",100,100,100,100,100
"Exp65",100,100,100,99,99
"Exp66",100,100,100,100,99
"Exp67",100,100,100,100,100
"Exp68",100,100,100,100,100
"Exp69",50,50,50,50,50
"Exp70",50,50,50,50,50
"Exp71",50,50,50,50,50
"Exp72",100,100,100,100,100
"Exp73",100,100,100,100,100
"Exp74",500,500,500,500,500
"Exp75",492,500,500,500,500
"Exp76",100,100,100,100,100
"Exp77",100,100,100,100,100
"Exp78",500,500,500,500,500
"Exp79",491,500,500,500,500
"Exp80",100,100,100,100,100
"Exp81",100,100,100,100,100
"Exp82",500,500,500,500,500
"Exp83",500,500,500,500,500
"Exp84",100,100,100,100,100
"Exp85",100,100,100,100,100
"Exp86",500,500,500,500,500
"Exp87",500,500,500,500,500
