"ExpID","off1","off2","off3","off4","off5"
"Exp01",1.3638,1.6246,1.5591,1.5328,1.6616
"Exp02",1.3701,1.7118,1.5413,1.518,1.7629
"Exp03",1.3638,1.6246,1.5591,1.5328,1.6616
"Exp04",1.3701,1.7118,1.5413,1.518,1.7629
"Exp05",7.5556,7.2985,8.143,7.6167,7.1866
"Exp06",7.5556,7.2985,8.143,7.6167,7.1866
"Exp07",7.542,7.3186,8.2184,7.7076,7.4059
"Exp08",7.5556,7.2985,8.143,7.6167,7.1866
"Exp09",7.5556,7.2985,8.143,7.6167,7.1866
"Exp10",5.813,6.5206,7.1289,5.605,3.3709
"Exp11",7.5556,7.2985,8.143,7.6167,7.1866
"Exp12",7.5556,7.2985,8.143,7.6167,7.1866
"Exp13",1.5018,1.5742,1.6281,1.6374,1.7027
"Exp14",7.5556,7.2985,8.143,7.6167,7.1866
"Exp15",7.5556,7.2985,8.143,7.6167,7.1866
"Exp16",2.2189,1.5795,1.6372,1.6425,1.6937
"Exp17",2.5583,7.2962,7.7926,7.6345,7.1866
"Exp18",2.5583,7.2962,8.1691,7.6345,7.1866
"Exp19",2.5583,7.2962,8.1619,7.6345,7.1866
"Exp20",1.3289,1.532,1.5109,1.445,1.6155
"Exp21",1.3453,1.5515,1.5376,1.4488,1.6366
"Exp22",1.33,1.5355,1.511,1.4471,1.6126
"Exp23",1.3492,1.55,1.5388,1.4474,1.6348
"Exp24",1.3302,1.5355,1.5108,1.447,1.6127
"Exp25",1.3317,1.5379,1.5124,1.4471,1.6152
"Exp26",1.3303,1.5354,1.511,1.4476,1.6127
"Exp27",1.3303,1.5354,1.5108,1.4471,1.6127
"Exp28",1.3292,1.532,1.5109,1.445,1.6155
"Exp29",1.3318,1.5379,1.5124,1.4471,1.6152
"Exp30",1.3463,1.5859,1.5375,1.5153,1.6466
"Exp31",1.3419,1.6066,1.535,1.5153,1.6512
"Exp32",1.342,1.6062,2.0311,1.5153,1.6511
"Exp33",1.3209,2.1114,1.9441,1.4389,1.6249
"Exp34",1.338,1.5431,1.953,1.4558,1.6147
"Exp35",1.3214,1.5265,1.9455,1.4396,1.6018
"Exp36",1.3407,1.543,1.955,1.4546,2.1604
"Exp37",1.3215,2.1161,1.506,1.4396,1.6018
"Exp38",1.3213,1.5267,1.5068,1.4396,1.6012
"Exp39",1.3213,1.5266,1.9455,1.4398,1.6252
"Exp40",1.3215,2.1327,1.506,1.4396,1.6252
"Exp41",1.3208,1.5244,1.9441,1.4389,1.6249
"Exp42",1.3214,2.1187,1.5067,1.4396,1.6012
"Exp43",1.3343,2.1587,1.9525,1.4779,1.6634
"Exp44",1.3392,1.6223,1.5189,1.4779,1.6758
"Exp45",1.3392,1.6221,1.5189,1.4779,1.6758
"Exp46",1.3429,1.7134,1.5155,1.6006,1.6526
"Exp47",1.3594,1.7848,1.7422,1.6237,1.6546
"Exp48",1.3548,1.7036,1.5172,1.5046,1.7224
"Exp49",1.3629,1.6915,2.1529,1.5835,1.6505
"Exp50",1.346,1.5715,1.5172,1.5049,1.6495
"Exp51",1.3566,1.567,1.5328,1.5455,1.6411
"Exp52",1.3433,1.7049,1.517,1.5037,1.6478
"Exp53",1.3458,1.5716,1.5349,1.602,1.6878
"Exp54",1.3405,1.5719,2.136,1.503,1.634
"Exp55",1.3465,1.5672,1.5335,1.5352,1.6409
"Exp56",1.3473,1.6128,1.5301,1.548,1.6432
"Exp57",1.3474,1.6191,1.5344,1.547,1.6532
"Exp58",1.338,1.649,1.5343,1.5477,1.6534
"Exp59",1.3291,2.1289,1.5169,1.4844,1.6189
"Exp60",1.3385,1.6446,1.5901,1.5584,1.6376
"Exp61",1.3388,2.4403,2.2608,1.489,1.6253
"Exp62",1.3421,1.6442,1.9952,1.5528,1.6393
"Exp63",1.3364,1.6,1.9895,1.4883,1.6252
"Exp64",1.3382,1.5928,1.6215,1.6451,1.6174
"Exp65",1.3351,1.6002,1.9585,1.4877,1.6306
"Exp66",1.3364,2.4395,1.534,1.4888,1.6381
"Exp67",1.3291,1.5503,1.9647,1.4885,1.6193
"Exp68",1.3389,2.449,1.6344,1.5082,1.6328
"Exp69",1.3306,2.2238,1.9602,1.4968,1.6555
"Exp70",1.3373,1.6214,1.5238,1.4955,1.6623
"Exp71",1.3373,1.6218,1.5241,1.4953,1.6621
"Exp72",1.3493,1.6665,1.5797,1.4822,1.652
"Exp73",1.4145,1.5582,1.5414,1.4914,1.6273
"Exp74",1.3898,1.5848,1.5484,1.4986,1.6187
"Exp75",1.3648,1.5803,1.5419,1.4574,1.6327
"Exp76",1.4054,2.2509,1.6055,1.6317,1.6824
"Exp77",1.3354,1.5721,1.9931,1.4538,1.6212
"Exp78",1.3818,1.544,2.0975,1.4949,1.6355
"Exp79",1.3472,1.6027,1.5382,1.4515,1.6332
"Exp80",1.3303,1.5324,1.511,1.4435,1.6162
"Exp81",1.4369,3.4076,2.9277,1.9791,2.5386
"Exp82",1.3551,1.5912,1.5393,1.4586,1.6278
"Exp83",1.4369,3.4076,2.9277,1.9791,2.5386
"Exp84",1.3206,1.5244,1.944,1.4378,1.6003
"Exp85",1.4377,2.9103,3.393,2.1139,2.3755
"Exp86",1.3496,1.5928,1.5329,1.4604,2.1384
"Exp87",1.4377,2.9103,3.393,2.1139,2.9455
