"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.3739,0.5012,0.3267,0.4141,0.4701
"Exp02",0.444,0.5157,0.3628,0.4611,0.3679
"Exp03",0.3739,0.5012,0.3267,0.4141,0.4701
"Exp04",0.444,0.5157,0.3628,0.4611,0.3679
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.5803,0.5698,0.5519,0.5067,0.5448
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.5803,0.5698,0.5519,0.5067,0.5343
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",0.4391,0.4553,0.4165,0.2457,0.1494
"Exp20",0.5915,0.5868,0.5544,0.5142,0.5504
"Exp21",0.5837,0.5835,0.5544,0.5112,0.5547
"Exp22",0.5915,0.5789,0.5544,0.5142,0.5547
"Exp23",0.5837,0.5775,0.5485,0.5112,0.4697
"Exp24",0.5915,0.5789,0.5544,0.5142,0.5547
"Exp25",0.5915,0.5789,0.5475,0.4603,0.5516
"Exp26",0.5915,0.5789,0.5544,0.5142,0.5547
"Exp27",0.4691,0.5789,0.5544,0.5142,0.5547
"Exp28",0.5915,0.5868,0.5544,0.5142,0.5504
"Exp29",0.5915,0.5789,0.5475,0.5143,0.5516
"Exp30",0.5915,0.5682,0.547,0.4948,0.5521
"Exp31",0.5915,0.5682,0.547,0.5038,0.54
"Exp32",0.5915,0.5682,0.547,0.5038,0.54
"Exp33",0.5915,0.5868,0.5544,0.5143,0.5547
"Exp34",0.5716,0.5789,0.5544,0.5143,0.5547
"Exp35",0.5915,0.5789,0.5496,0.5143,0.5547
"Exp36",0.5837,0.5789,0.5544,0.4549,0.5504
"Exp37",0.5915,0.5789,0.5575,0.5143,0.5547
"Exp38",0.5915,0.5789,0.5488,0.5143,0.5547
"Exp39",0.5915,0.5789,0.5496,0.5143,0.5547
"Exp40",0.5915,0.5789,0.5496,0.5143,0.5547
"Exp41",0.5915,0.4885,0.5496,0.5143,0.4499
"Exp42",0.5915,0.5789,0.5488,0.5143,0.4499
"Exp43",0.4468,0.5636,0.5519,0.5045,0.54
"Exp44",0.5915,0.5636,0.5519,0.4766,0.46
"Exp45",0.5198,0.5636,0.5519,0.5038,0.4496
"Exp46",0.5227,0.5756,0.5575,0.5144,0.5516
"Exp47",0.4691,0.5376,0.5544,0.4971,0.549
"Exp48",0.5875,0.558,0.5504,0.5066,0.5474
"Exp49",0.5841,0.5723,0.5475,0.5026,0.5516
"Exp50",0.5875,0.5758,0.5504,0.4835,0.549
"Exp51",0.4635,0.5785,0.5445,0.5097,0.5516
"Exp52",0.5875,0.5758,0.5504,0.5158,0.5474
"Exp53",0.5875,0.5758,0.5544,0.5158,0.5448
"Exp54",0.5915,0.5789,0.5575,0.5144,0.5516
"Exp55",0.5682,0.5785,0.5445,0.4885,0.549
"Exp56",0.5915,0.5868,0.5519,0.5012,0.54
"Exp57",0.4467,0.5682,0.5519,0.5038,0.5521
"Exp58",0.5875,0.5682,0.5519,0.5038,0.5521
"Exp59",0.5915,0.5733,0.5575,0.5144,0.5516
"Exp60",0.4852,0.5733,0.5575,0.5676,0.4527
"Exp61",0.4745,0.4827,0.5524,0.4951,0.5275
"Exp62",0.5841,0.5593,0.5297,0.4954,0.549
"Exp63",0.518,0.5868,0.531,0.4951,0.53
"Exp64",0.5817,0.5592,0.5862,0.5676,0.5166
"Exp65",0.5779,0.5868,0.531,0.4994,0.5275
"Exp66",0.4875,0.5868,0.5544,0.5083,0.5275
"Exp67",0.5841,0.5733,0.5575,0.5144,0.5516
"Exp68",0.5467,0.5868,0.5862,0.5444,0.5547
"Exp69",0.5875,0.5178,0.5519,0.4804,0.54
"Exp70",0.4447,0.5636,0.5519,0.5038,0.5521
"Exp71",0.4444,0.5636,0.5519,0.5183,0.4496
"Exp72",0.4847,0.5687,0.5469,0.5056,0.5474
"Exp73",0.5883,0.5789,0.5488,0.5106,0.5462
"Exp74",0.5817,0.5756,0.4938,0.5112,0.5516
"Exp75",0.5716,0.5756,0.5544,0.5143,0.5547
"Exp76",0.5495,0.4994,0.5508,0.5014,0.5326
"Exp77",0.5915,0.4976,0.5575,0.4685,0.4574
"Exp78",0.5893,0.5733,0.5515,0.5079,0.5509
"Exp79",0.5716,0.5789,0.5475,0.5045,0.5474
"Exp80",0.5915,0.5868,0.5575,0.5142,0.5547
"Exp81",0.5157,0.4406,0.4596,0.4538,0.4911
"Exp82",0.5761,0.5756,0.5575,0.5079,0.4588
"Exp83",0.5157,0.4406,0.4596,0.4966,0.4911
"Exp84",0.5915,0.4838,0.531,0.5143,0.5547
"Exp85",0.5257,0.5376,0.4723,0.456,0.4045
"Exp86",0.5716,0.5756,0.5575,0.5143,0.5504
"Exp87",0.5257,0.5376,0.4723,0.456,0.4918
