"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.7403,0.8948,0.8555,0.866,0.8972
"Exp02",0.7463,0.8906,0.8629,0.8226,0.9242
"Exp03",0.7403,0.8948,0.8555,0.866,0.8972
"Exp04",0.7463,0.8906,0.8629,0.8226,0.9242
"Exp05",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp06",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp07",0.252,0.2459,0.2445,0.2451,0.2455
"Exp08",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp09",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp10",0.252,0.4968,0.2434,0.2451,0.2461
"Exp11",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp12",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp13",0.9059,0.8562,0.8754,0.7937,0.8888
"Exp14",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp15",0.2529,0.2467,0.2434,0.2451,0.2455
"Exp16",0.9059,0.8562,0.8754,0.7937,0.88
"Exp17",0.3831,0.2458,0.2469,0.2457,0.2476
"Exp18",0.445,0.2458,0.2469,0.2457,0.2476
"Exp19",0.6733,0.5723,0.6494,0.6465,0.3724
"Exp20",0.9429,0.8877,0.8606,0.8121,0.9259
"Exp21",0.9288,0.8751,0.8606,0.8453,0.9101
"Exp22",0.9429,0.8982,0.8606,0.8121,0.9101
"Exp23",0.9288,0.8647,0.8606,0.8453,0.5938
"Exp24",0.9429,0.8982,0.8606,0.8121,0.9101
"Exp25",0.9429,0.8982,0.846,0.5825,0.8915
"Exp26",0.9429,0.8982,0.8606,0.8121,0.9101
"Exp27",0.6374,0.8982,0.8606,0.8121,0.9101
"Exp28",0.9429,0.8877,0.8606,0.8121,0.9259
"Exp29",0.9429,0.8982,0.846,0.831,0.8915
"Exp30",0.9429,0.8874,0.8426,0.856,0.9266
"Exp31",0.9429,0.8874,0.8426,0.806,0.8709
"Exp32",0.9429,0.8874,0.8426,0.806,0.8709
"Exp33",0.9429,0.8877,0.8606,0.831,0.9101
"Exp34",0.9007,0.8982,0.8606,0.831,0.9101
"Exp35",0.9429,0.8982,0.8705,0.831,0.9101
"Exp36",0.9288,0.8982,0.8606,0.5685,0.9259
"Exp37",0.9429,0.8982,0.8742,0.831,0.9101
"Exp38",0.9429,0.8982,0.8828,0.831,0.9101
"Exp39",0.9429,0.8982,0.8705,0.831,0.9101
"Exp40",0.9429,0.8982,0.8705,0.831,0.9101
"Exp41",0.9429,0.6348,0.8705,0.831,0.5775
"Exp42",0.9429,0.8982,0.8828,0.831,0.5775
"Exp43",0.624,0.8657,0.8582,0.7755,0.8709
"Exp44",0.9429,0.8657,0.8582,0.5843,0.5832
"Exp45",0.649,0.8657,0.8582,0.806,0.5832
"Exp46",0.6905,0.8874,0.8742,0.8056,0.8915
"Exp47",0.6374,0.7343,0.8606,0.7502,0.8728
"Exp48",0.9373,0.6665,0.8754,0.7492,0.9074
"Exp49",0.9189,0.8673,0.846,0.7852,0.8915
"Exp50",0.9373,0.8783,0.8754,0.5467,0.8728
"Exp51",0.6379,0.8586,0.8582,0.7773,0.8915
"Exp52",0.9373,0.8783,0.8754,0.7861,0.9074
"Exp53",0.9373,0.8783,0.8606,0.7861,0.8888
"Exp54",0.9429,0.8982,0.8742,0.8056,0.8915
"Exp55",0.8955,0.8586,0.8582,0.7152,0.8728
"Exp56",0.9429,0.8877,0.8582,0.7873,0.8709
"Exp57",0.626,0.8874,0.8582,0.806,0.9266
"Exp58",0.9373,0.8874,0.8582,0.806,0.9266
"Exp59",0.9429,0.8765,0.8742,0.8056,0.8915
"Exp60",0.6405,0.8765,0.8742,0.6558,0.5911
"Exp61",0.6551,0.6491,0.8582,0.7241,0.6126
"Exp62",0.9189,0.78,0.6211,0.6841,0.8728
"Exp63",0.6882,0.8877,0.6211,0.7241,0.6139
"Exp64",0.6771,0.6695,0.6588,0.6558,0.6121
"Exp65",0.6844,0.8877,0.6211,0.7571,0.6126
"Exp66",0.7262,0.8877,0.8606,0.7621,0.6126
"Exp67",0.9189,0.8765,0.8742,0.8056,0.8915
"Exp68",0.8292,0.8877,0.6588,0.6009,0.9101
"Exp69",0.9373,0.6537,0.8582,0.7355,0.8709
"Exp70",0.6574,0.8657,0.8582,0.806,0.9266
"Exp71",0.6653,0.8657,0.8582,0.6177,0.5832
"Exp72",0.6376,0.8982,0.8754,0.8508,0.9074
"Exp73",0.9661,0.8982,0.8828,0.8499,0.8894
"Exp74",0.9477,0.8874,0.5973,0.8453,0.8915
"Exp75",0.9007,0.8874,0.8606,0.831,0.9101
"Exp76",0.8335,0.6349,0.907,0.7685,0.8817
"Exp77",0.9429,0.643,0.8742,0.5768,0.5851
"Exp78",0.9616,0.8765,0.8905,0.8749,0.8713
"Exp79",0.9007,0.8982,0.846,0.7755,0.9074
"Exp80",0.9429,0.8877,0.8742,0.8121,0.9101
"Exp81",0.7887,0.715,0.5864,0.6166,0.7165
"Exp82",0.9147,0.8874,0.8742,0.8749,0.5851
"Exp83",0.7887,0.715,0.5864,0.6747,0.7165
"Exp84",0.9429,0.6328,0.6211,0.831,0.9101
"Exp85",0.8,0.7343,0.5911,0.618,0.5941
"Exp86",0.9007,0.8874,0.8742,0.831,0.9259
"Exp87",0.8,0.7343,0.5911,0.618,0.7386
