"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.7149,0.8919,0.8257,0.7725,0.8263
"Exp02",0.6885,0.8665,0.7834,0.7873,0.9029
"Exp03",0.7149,0.8919,0.8257,0.7725,0.8263
"Exp04",0.6885,0.8665,0.7834,0.7873,0.9029
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.8994,0.8632,0.8747,0.7898,0.8815
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.8994,0.8632,0.8747,0.7898,0.893
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",0.754,0.8231,0.8822,0.0018,0.9119
"Exp20",0.9361,0.9386,0.8606,0.8087,0.9259
"Exp21",0.9169,0.9181,0.8606,0.8425,0.9086
"Exp22",0.9361,0.9247,0.8606,0.8087,0.9086
"Exp23",0.9169,0.8952,0.8606,0.8425,0.758
"Exp24",0.9361,0.9247,0.8606,0.8087,0.9086
"Exp25",0.9361,0.9247,0.8481,0.7453,0.8856
"Exp26",0.9361,0.9247,0.8606,0.8087,0.9086
"Exp27",0.7133,0.9247,0.8606,0.8087,0.9086
"Exp28",0.9361,0.9386,0.8606,0.8087,0.9259
"Exp29",0.9361,0.9247,0.8481,0.831,0.8856
"Exp30",0.9361,0.9034,0.8531,0.8772,0.9251
"Exp31",0.9361,0.9034,0.8531,0.8392,0.8609
"Exp32",0.9361,0.9034,0.8531,0.8392,0.8609
"Exp33",0.9361,0.9386,0.8606,0.831,0.9086
"Exp34",0.8834,0.9247,0.8606,0.831,0.9086
"Exp35",0.9361,0.9247,0.8813,0.831,0.9086
"Exp36",0.9169,0.9247,0.8606,0.7222,0.9259
"Exp37",0.9361,0.9247,0.8763,0.831,0.9086
"Exp38",0.9361,0.9247,0.9004,0.831,0.9086
"Exp39",0.9361,0.9247,0.8813,0.831,0.9086
"Exp40",0.9361,0.9247,0.8813,0.831,0.9086
"Exp41",0.9361,0.7944,0.8813,0.831,0.7111
"Exp42",0.9361,0.9247,0.9004,0.831,0.7111
"Exp43",0.6853,0.8657,0.8639,0.7716,0.8609
"Exp44",0.9361,0.8657,0.8639,0.7997,0.73
"Exp45",0.7843,0.8657,0.8639,0.8392,0.73
"Exp46",0.8035,0.9034,0.8763,0.8236,0.8856
"Exp47",0.7133,0.7764,0.8606,0.77,0.8642
"Exp48",0.9425,0.905,0.8747,0.751,0.9029
"Exp49",0.9225,0.8829,0.8481,0.8046,0.8856
"Exp50",0.9425,0.9042,0.8747,0.7329,0.8642
"Exp51",0.7149,0.8952,0.8639,0.7857,0.8856
"Exp52",0.9425,0.9042,0.8747,0.7906,0.9029
"Exp53",0.9425,0.9042,0.8606,0.7906,0.8815
"Exp54",0.9361,0.9247,0.8763,0.8236,0.8856
"Exp55",0.8898,0.8952,0.8639,0.7741,0.8642
"Exp56",0.9361,0.9386,0.8639,0.7873,0.8609
"Exp57",0.6885,0.9034,0.8639,0.8392,0.9251
"Exp58",0.9425,0.9034,0.8639,0.8392,0.9251
"Exp59",0.9361,0.8837,0.8763,0.8236,0.8856
"Exp60",0.7228,0.8837,0.8763,0.9769,0.758
"Exp61",0.7508,0.8149,0.8639,0.742,0.8486
"Exp62",0.9225,0.8133,0.849,0.723,0.8642
"Exp63",0.7987,0.9386,0.849,0.742,0.8519
"Exp64",0.8994,0.9107,1,0.9769,0.8519
"Exp65",0.9233,0.9386,0.849,0.7914,0.8486
"Exp66",0.8514,0.9386,0.8606,0.7791,0.8486
"Exp67",0.9225,0.8837,0.8763,0.8236,0.8856
"Exp68",0.8339,0.9386,1,0.8813,0.9086
"Exp69",0.9425,0.8968,0.8639,0.7428,0.8609
"Exp70",0.7588,0.8657,0.8639,0.8392,0.9251
"Exp71",0.7891,0.8657,0.8639,0.8285,0.73
"Exp72",0.7236,0.9247,0.8747,0.8508,0.9029
"Exp73",0.9553,0.9247,0.9004,0.8541,0.8807
"Exp74",0.9409,0.9034,0.7618,0.8425,0.8856
"Exp75",0.8834,0.9034,0.8606,0.831,0.9086
"Exp76",0.8275,0.8346,0.9062,0.8483,0.9021
"Exp77",0.9361,0.8157,0.8763,0.7428,0.7325
"Exp78",0.9601,0.8837,0.8905,0.8706,0.8691
"Exp79",0.8834,0.9247,0.8481,0.7716,0.9029
"Exp80",0.9361,0.9386,0.8763,0.8087,0.9086
"Exp81",0.8107,0.783,0.7237,0.6562,0.7449
"Exp82",0.8994,0.9034,0.8763,0.8706,0.7325
"Exp83",0.8107,0.783,0.7237,0.7148,0.7449
"Exp84",0.9361,0.7862,0.849,0.831,0.9086
"Exp85",0.8147,0.7764,0.7402,0.6669,0.6444
"Exp86",0.8834,0.9034,0.8763,0.831,0.9259
"Exp87",0.8147,0.7764,0.7402,0.6669,0.763
