"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.7493,0.8586,0.8736,0.7453,0.7627
"Exp02",0.6752,0.684,0.8431,0.7436,0.8532
"Exp03",0.7493,0.8586,0.8736,0.7453,0.7627
"Exp04",0.6693,0.684,0.8431,0.7436,0.8532
"Exp05",0,0,0,0,0
"Exp06",0.9468,0,0,0,0
"Exp07",0.8618,0.0333,0.0231,0.0647,0.3708
"Exp08",0,0,0,0,0
"Exp09",0,0,0,0,0
"Exp10",0.4151,0.1189,0.5268,0.0876,0.7219
"Exp11",0,0,0,0,0
"Exp12",0.9468,0,0,0,0
"Exp13",0.4017,0.8586,0.7251,0.7848,0.5006
"Exp14",0,0,0,0,0
"Exp15",0.9468,0,0,0,0
"Exp16",0.4017,0.8586,0.7716,0.7848,0.5006
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.8276,0.8586,0.8739,0.7887,0.8916
"Exp21",NA,NA,NA,NA,NA
"Exp22",0.8276,0.8586,0.8739,0.7887,0.8916
"Exp23",NA,NA,NA,NA,NA
"Exp24",0.8276,0.8586,0.8739,0.7887,0.8916
"Exp25",0.8276,0.8586,0.8736,0.7887,0.8916
"Exp26",0.8276,0.8586,0.8739,0.7887,0.8916
"Exp27",0.8276,0.8586,0.8739,0.7887,0.8916
"Exp28",0.8276,0.8586,0.8736,0.7887,0.8916
"Exp29",0.8276,0.8586,0.8736,0.7887,0.8916
"Exp30",0.8317,0.8586,0.5436,0.7887,0.8916
"Exp31",0.8276,0.8586,0.5173,0.7887,0.897
"Exp32",0.8276,0.8586,0.8775,0.7887,0.8897
"Exp33",0.8276,0.501,0.8736,0.4465,0.8916
"Exp34",NA,NA,NA,NA,NA
"Exp35",0.8276,0.8586,0.8775,0.4465,0.555
"Exp36",NA,NA,NA,NA,NA
"Exp37",0.8276,0.8586,0.8775,0.7887,0.8916
"Exp38",0.4545,0.8586,0.8775,0.7887,0.8916
"Exp39",0.4508,0.8586,0.8775,0.4465,0.8916
"Exp40",0.8276,0.476,0.8775,0.453,0.8916
"Exp41",0.8276,0.5099,0.8775,0.7887,0.8916
"Exp42",0.4727,0.8586,0.8775,0.7887,0.8916
"Exp43",0.8276,0.4864,0.8775,0.7887,0.5453
"Exp44",0.4545,0.8586,0.8775,0.4465,0.8897
"Exp45",0.8276,0.8586,0.8775,0.4465,0.8916
"Exp46",0.8276,0.4864,0.8736,0.7887,0.8916
"Exp47",NA,NA,NA,NA,NA
"Exp48",0.8317,0.8586,0.8739,0.7887,0.8916
"Exp49",NA,NA,NA,NA,NA
"Exp50",0.8276,0.4883,0.4497,0.7887,0.5453
"Exp51",0.8276,0.4699,0.469,0.4328,0.8916
"Exp52",0.8317,0.8586,0.8736,0.7887,0.8916
"Exp53",0.8276,0.8546,0.8739,0.7887,0.8916
"Exp54",0.8317,0.8586,0.8736,0.7887,0.8916
"Exp55",0.8317,0.8586,0.8752,0.4328,0.8916
"Exp56",0.8276,0.8586,0.8736,0.7887,0.8897
"Exp57",0.8276,0.8586,0.8736,0.7887,0.8897
"Exp58",0.8276,0.8586,0.8736,0.7887,0.8916
"Exp59",0.8276,0.8586,0.7716,0.4606,0.8916
"Exp60",NA,NA,NA,NA,NA
"Exp61",0.8276,0.4813,0.8775,0.7887,0.8916
"Exp62",NA,NA,NA,NA,NA
"Exp63",0.4664,0.4932,0.7716,0.7887,0.4847
"Exp64",0.8276,0.8586,0.5436,0.7887,0.5555
"Exp65",0.4508,0.8586,0.8775,0.7887,0.8916
"Exp66",0.4327,0.8586,0.5436,0.7887,0.527
"Exp67",0.4545,0.8586,0.8775,0.7887,0.8916
"Exp68",0.8317,0.8586,0.8752,0.7887,0.8916
"Exp69",0.4489,0.8524,0.509,0.7887,0.8916
"Exp70",0.4489,0.8586,0.8736,0.7887,0.8897
"Exp71",0.8276,0.4945,0.8736,0.7887,0.8916
"Exp72",0.8326,0.521,0.3922,0.4679,0.6566
"Exp73",0.8276,0.8586,0.8736,0.7887,0.8916
"Exp74",0.8345,0.4932,0.4988,0.7099,0.1589
"Exp75",0.8372,0.8586,0.8736,0.7887,0.8947
"Exp76",0.6149,0.8586,0.4942,0.546,0.5287
"Exp77",0.4664,0.8586,0.8736,0.7887,0.8916
"Exp78",0.759,0.8586,0.4519,0.7849,0.6692
"Exp79",0.4727,0.4718,0.8736,0.7887,0.8947
"Exp80",0.8317,0.8586,0.8739,0.7887,0.8916
"Exp81",0.8317,0.544,0.4843,0.4606,0.897
"Exp82",0.8276,0.8586,0.8736,0.7887,0.8916
"Exp83",0.8317,0.544,0.4843,0.4606,0.897
"Exp84",0.8317,0.8586,0.8775,0.4465,0.8916
"Exp85",0.8317,0.544,0.4843,0.4606,0.897
"Exp86",0.4612,0.4932,0.8736,0.4391,0.5463
"Exp87",0.8317,0.544,0.4843,0.4606,0.897
