"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.2418,0.1744,0,0.2569,0.237
"Exp02",0.1271,0.1341,0,0.2281,0.3119
"Exp03",0.2418,0.1744,0,0.2569,0.237
"Exp04",0.1271,0.1341,0,0.2281,0.3119
"Exp05",4.5926,0.9271,0,8.6693,1.1524
"Exp06",4.5926,0.9271,0,8.6693,1.1524
"Exp07",4.2802,0.6688,0,8.2041,1.3574
"Exp08",4.5926,0.9271,0,8.6693,1.1524
"Exp09",4.5926,0.9271,0,8.6693,1.1524
"Exp10",1.0846,0.4929,0,7.6145,1.6098
"Exp11",4.5926,0.9271,0,8.6693,1.1524
"Exp12",4.5926,0.9271,0,8.6693,1.1524
"Exp13",1.0459,0.4812,0,7.6406,1.5986
"Exp14",4.5926,0.9271,0,8.6693,1.1524
"Exp15",4.5926,0.9271,0,8.6693,1.1524
"Exp16",1.0181,0.4929,0,3.4717,1.5958
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.0864,0.0363,0,0.0937,0.0695
"Exp21",NA,NA,NA,NA,NA
"Exp22",0.0793,0.0377,0,0.0943,0.0726
"Exp23",NA,NA,NA,NA,NA
"Exp24",0.0804,0.0368,0,0.0952,0.0705
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",0.117,0.0361,0,0.0918,0.0693
"Exp29",0.1039,0.0373,0,0.0982,0.0718
"Exp30",0.0785,0.0418,0,0.0938,0.0757
"Exp31",NA,NA,NA,NA,NA
"Exp32",0.1227,0.0466,0,0.0923,0.0742
"Exp33",0.1044,0.0497,0,0.1005,0.0817
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",0.1311,0.0455,0,0.108,0.1568
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",0.1305,0.0465,0,0.098,0.0762
"Exp42",0.1565,0.0464,0,0.1377,0.0965
"Exp43",0.1231,0.0379,0,0.094,0.1213
"Exp44",NA,NA,NA,NA,NA
"Exp45",0.0889,0.0569,0,0.0986,0.1098
"Exp46",0.0839,0.0893,0,0.1001,0.1211
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",0.113,0.039,0,0.103,0.0979
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",0.12,0.044,0,0.0898,0.1196
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",0.1358,0.0535,0,0.0739,0.1019
"Exp59",0.0925,0.0735,0,0.0687,0.1168
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",0.1157,0.077,0,0.1141,0.1024
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",0.1225,0.069,0,0.069,0.1187
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",0.1006,0.054,0,0.0689,0.1695
"Exp72",0.897,0.5619,0,0.6472,0.7041
"Exp73",0.0824,0.0418,0,0.0941,0.0784
"Exp74",0.7421,0.4557,0,0.7504,0.9299
"Exp75",0.1853,0.0494,0,0.1405,0.109
"Exp76",0.865,0.5362,0,1.0113,0.1789
"Exp77",0.1758,0.0575,0,0.1025,0.1141
"Exp78",0.8318,0.4986,0,0.95,2.411
"Exp79",0.2339,0.0468,0,0.1861,0.1564
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
