"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.8314,0.5007,0.8111,0.8608,0.9729
"Exp02",0.8052,0.5251,0.596,0.8228,0.9943
"Exp03",0.8314,0.5007,0.8111,0.8608,0.9729
"Exp04",0.8052,0.5251,0.596,0.8228,0.9943
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.8187,0.5981,0.4737,0.9895,0.9317
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.8789,0.6028,0.9024,0.9874,0.9312
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.6936,0.4141,0.4838,0.549,0.3683
"Exp21",NA,NA,NA,NA,NA
"Exp22",0.7205,0.3853,0.4836,0.5223,0.3621
"Exp23",NA,NA,NA,NA,NA
"Exp24",0.7205,0.4171,0.4895,0.557,0.3493
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",0.8029,0.3933,0.4723,0.5347,0.3626
"Exp29",0.8583,0.4422,0.4838,0.5565,0.3636
"Exp30",0.7205,0.4888,0.4495,0.5005,0.3999
"Exp31",NA,NA,NA,NA,NA
"Exp32",0.8393,0.4871,0.4531,0.4746,0.337
"Exp33",0.8575,0.8321,0.523,0.565,0.3738
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",0.8029,0.8321,0.4782,0.6921,0.9953
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",0.8029,0.8321,0.8293,0.604,0.3792
"Exp42",0.8029,0.8982,0.8293,0.9879,0.533
"Exp43",0.8029,0.4061,0.5271,0.4923,0.6652
"Exp44",NA,NA,NA,NA,NA
"Exp45",0.7205,0.4775,0.8293,0.4977,0.6077
"Exp46",0.7031,0.3956,0.4723,0.5077,0.692
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",0.7601,0.4015,0.4475,0.6392,0.5532
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",0.6888,0.4247,0.4661,0.5108,0.692
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",0.8345,0.5145,0.8653,0.3952,0.579
"Exp59",0.7205,0.4749,0.8293,0.4201,0.5778
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",0.7205,0.3741,0.8293,0.6785,0.6187
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",0.6888,0.4858,0.8293,0.4237,0.6785
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",0.882,0.3648,0.8293,0.4296,0.9943
"Exp72",0.7926,0.7267,0.8291,0.9884,0.995
"Exp73",0.7672,0.5198,0.4897,0.5082,0.4215
"Exp74",0.677,0.8407,0.8655,0.9884,0.9948
"Exp75",0.8583,0.7796,0.7943,0.8808,0.5083
"Exp76",NA,NA,NA,NA,NA
"Exp77",NA,NA,NA,NA,NA
"Exp78",NA,NA,NA,NA,NA
"Exp79",NA,NA,NA,NA,NA
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
