"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.5588,0.6538,0.7388,0.5781,0.5927
"Exp02",0.5403,0.6901,0.5656,0.6314,0.4705
"Exp03",0.5682,0.6567,0.725,0.5781,0.5948
"Exp04",0.5403,0.4936,0.5656,0.6314,0.4723
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.4629,0.5306,0.4324,0.3179,0.5408
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.4863,0.7898,0.1157,0.5396,0.5408
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.5987,0.6878,0.5725,0.5263,0.5121
"Exp21",NA,NA,NA,NA,NA
"Exp22",0.4053,0.6878,0.6178,0.7103,0.4588
"Exp23",NA,NA,NA,NA,NA
"Exp24",0.491,0.5883,0.5527,0.7103,0.4448
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",0.5197,0.6569,0.5103,0.7062,0.5121
"Exp29",0.442,0.6125,0.6172,0.7103,0.5286
"Exp30",0.4633,0.5005,0.3581,0.7103,0.4331
"Exp31",NA,NA,NA,NA,NA
"Exp32",0.3037,0.5662,0.5264,0.5846,0.4333
"Exp33",0.6644,0.5305,0.6028,0.7074,0.4557
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",0.588,0.6432,0.5033,0.7103,0.4436
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",0.6739,0.6483,0.5011,0.7074,0.4855
"Exp42",0.6739,0.5142,0.5163,0.4841,0.5656
"Exp43",0.6575,0.646,0.603,0.6065,0.5335
"Exp44",NA,NA,NA,NA,NA
"Exp45",0.6415,0.6141,0.5089,0.7103,0.5241
"Exp46",0.5962,0.5251,0.5448,0.5484,0.3204
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",0.4079,0.5891,0.6079,0.4215,0.4563
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",0.6666,0.4984,0.5987,0.5484,0.4386
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",0.4938,0.6512,0.3701,0.5515,0.6081
"Exp59",0.5239,0.6158,0.609,0.7074,0.4084
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",0.5626,0.6445,0.5474,0.5452,0.5795
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",0.5547,0.4695,0.6017,0.7074,0.4876
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",0.4351,0.5719,0.5545,0.7103,0.3717
"Exp72",0.5115,0.5918,0.4984,0.4146,0.437
"Exp73",0.5594,0.4959,0.5478,0.7103,0.4767
"Exp74",0.4307,0.7468,0.2485,0.3882,0.4841
"Exp75",0.6332,0.5581,0.4892,0.7074,0.5583
"Exp76",NA,NA,NA,NA,NA
"Exp77",NA,NA,NA,NA,NA
"Exp78",NA,NA,NA,NA,NA
"Exp79",NA,NA,NA,NA,NA
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
