"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.7294,0.884,0.6977,0.7444,0.8806
"Exp02",0.7011,0.8483,0.7878,0.5923,0.9559
"Exp03",0.744,0.8653,0.6977,0.7317,0.6398
"Exp04",0.7011,0.8483,0.7878,0.6561,0.9559
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.715,0.6909,0.5265,0.5901,0.6929
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.7155,0.702,0.5301,0.6311,0.6929
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.6312,0.8153,0.7767,0.7772,0.5189
"Exp21",NA,NA,NA,NA,NA
"Exp22",NA,NA,NA,NA,NA
"Exp23",NA,NA,NA,NA,NA
"Exp24",0.6202,0.8592,0.9026,0.6376,0.5609
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",0.5915,0.8404,0.7738,0.797,0.5701
"Exp29",0.6378,0.8484,0.8012,0.778,0.6018
"Exp30",0.5673,0.8398,0.8749,0.7647,0.4972
"Exp31",NA,NA,NA,NA,NA
"Exp32",0.5575,0.7949,0.7582,0.8618,0.5747
"Exp33",0.6703,0.8891,0.8898,0.8395,0.6267
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",0.7151,0.8769,0.7154,0.8245,0.7285
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",0.7285,0.8675,0.8008,0.7429,0.6378
"Exp42",0.6769,0.9044,0.9125,0.8535,0.9988
"Exp43",0.6189,0.7091,0.7898,0.6504,0.5416
"Exp44",NA,NA,NA,NA,NA
"Exp45",0.6442,0.8612,0.8287,0.8412,0.5614
"Exp46",0.5702,0.7912,0.7464,0.7779,0.6702
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",0.6492,0.8398,0.7113,0.5978,0.683
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",0.5664,0.7904,0.8063,0.7779,0.5085
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",0.5324,0.881,0.7256,0.7687,0.5824
"Exp59",0.6984,0.8489,0.6509,0.7591,0.6166
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",0.6549,0.8657,0.7051,0.5564,0.6183
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",0.6769,0.8281,0.7824,0.7909,0.6956
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",0.6261,0.8639,0.6514,0.8393,0.5726
"Exp72",0.617,0.68,0.5186,0.624,0.5692
"Exp73",0.618,0.7705,0.8809,0.8076,0.5614
"Exp74",0.7159,0.7543,0.4334,0.7317,0.8113
"Exp75",0.6379,0.8894,0.7158,0.7887,0.8585
"Exp76",NA,NA,NA,NA,NA
"Exp77",NA,NA,NA,NA,NA
"Exp78",NA,NA,NA,NA,NA
"Exp79",NA,NA,NA,NA,NA
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
