"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.8932,0.9463,0.9185,0.877,0.9841
"Exp02",0.8106,0.8806,0.9217,0.8044,1
"Exp03",0.9132,0.8936,0.9185,0.8625,0.9776
"Exp04",0.8106,0.8806,0.9217,0.8386,1
"Exp05",0.25,0.25,0.26,0.23,0.6
"Exp06",0.25,0.25,0.26,0.23,0.6
"Exp07",0.4615,0.4916,0.3841,0.3774,0.568
"Exp08",0.25,0.25,0.26,0.23,0.6
"Exp09",0.25,0.25,0.26,0.23,0.6
"Exp10",0.7919,0.8474,0.6,0.8234,0.6415
"Exp11",0.25,0.25,0.26,0.23,0.6
"Exp12",0.25,0.25,0.26,0.23,0.6
"Exp13",0.8887,0.8079,0.784,0.7914,0.9036
"Exp14",0.25,0.25,0.26,0.23,0.6
"Exp15",0.25,0.25,0.26,0.23,0.6
"Exp16",0.8664,0.7679,0.7104,0.8317,0.9036
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.8251,0.9257,0.9046,0.8794,0.9589
"Exp21",NA,NA,NA,NA,NA
"Exp22",NA,NA,NA,NA,NA
"Exp23",NA,NA,NA,NA,NA
"Exp24",0.8546,0.9475,0.961,0.825,0.9762
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",0.7997,0.9501,0.883,0.9166,0.9762
"Exp29",0.812,0.8384,0.8861,0.8804,0.9804
"Exp30",0.8287,0.9501,0.9523,0.8368,0.9714
"Exp31",NA,NA,NA,NA,NA
"Exp32",0.8016,0.9355,0.8967,0.9156,0.9634
"Exp33",0.8849,0.9506,0.9635,0.9246,0.9898
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",0.8423,0.947,0.8665,0.9074,1
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",0.8882,0.9686,0.9151,0.8689,0.9881
"Exp42",0.8981,0.9181,0.9699,0.933,1
"Exp43",0.7925,0.9276,0.9059,0.8258,0.9714
"Exp44",NA,NA,NA,NA,NA
"Exp45",0.8639,0.9486,0.9176,0.9141,0.9938
"Exp46",0.7539,0.9558,0.8778,0.8476,0.9618
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",0.8803,0.9501,0.8569,0.778,0.9769
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",0.7941,0.9517,0.8763,0.8476,0.9637
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",0.8114,0.9693,0.8836,0.8355,0.9639
"Exp59",0.8971,0.9677,0.8516,0.8825,0.9583
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",0.7952,0.9662,0.8509,0.8133,0.9757
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",0.8981,0.9586,0.8988,0.8412,0.9491
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",0.8517,0.9653,0.8643,0.9164,0.9755
"Exp72",0.7983,0.8902,0.7441,0.7615,0.8737
"Exp73",0.8318,0.9337,0.9525,0.8578,0.9762
"Exp74",0.8551,0.8619,0.8443,0.8625,0.9113
"Exp75",0.8571,0.8327,0.8584,0.8374,0.8958
"Exp76",0.868,0.9717,0.7291,0.6899,0.9264
"Exp77",0.8633,0.9381,0.9157,0.8215,1
"Exp78",0.8928,0.8714,0.7599,0.7481,0.8409
"Exp79",0.9033,0.8854,0.9096,0.8002,0.9972
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
