"ExpID","off1","off2","off3","off4","off5"
"Exp01",7,7,7,7,7
"Exp02",7,7,7,7,7
"Exp03",7,7,7,7,7
"Exp04",7,7,7,7,7
"Exp05",1,1,1,1,1
"Exp06",1,1,1,1,1
"Exp07",1,1,1,1,1
"Exp08",1,1,1,1,1
"Exp09",1,1,1,1,1
"Exp10",7,7,7,7,7
"Exp11",1,1,1,1,1
"Exp12",1,1,1,1,1
"Exp13",7,7,7,7,7
"Exp14",1,1,1,1,1
"Exp15",1,1,1,1,1
"Exp16",7,7,7,7,7
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",7,7,7,7,7
"Exp21",NA,NA,NA,NA,NA
"Exp22",NA,NA,NA,NA,NA
"Exp23",NA,NA,NA,NA,NA
"Exp24",7,7,7,7,7
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",7,7,7,7,7
"Exp29",7,7,7,7,7
"Exp30",7,7,7,7,7
"Exp31",NA,NA,NA,NA,NA
"Exp32",7,7,7,7,7
"Exp33",7,7,7,7,7
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",7,7,7,7,7
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",7,7,7,7,7
"Exp42",7,7,7,7,7
"Exp43",7,7,7,7,7
"Exp44",NA,NA,NA,NA,NA
"Exp45",7,7,7,7,7
"Exp46",7,7,7,7,7
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",7,7,7,7,7
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",7,7,7,7,7
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",7,7,7,7,7
"Exp59",7,7,7,7,7
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",7,7,7,7,7
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",7,7,7,7,7
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",7,7,7,7,7
"Exp72",7,7,7,7,7
"Exp73",7,7,7,7,7
"Exp74",7,7,7,7,7
"Exp75",7,7,7,7,7
"Exp76",7,7,7,7,7
"Exp77",7,7,7,7,7
"Exp78",7,7,7,7,7
"Exp79",7,7,7,7,7
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
