"ExpID","off1","off2","off3","off4","off5"
"Exp01",100,100,100,100,100
"Exp02",50,50,50,50,50
"Exp03",100,100,100,100,100
"Exp04",50,50,50,50,50
"Exp05",1,1,1,1,1
"Exp06",1,1,1,1,1
"Exp07",18,57,113,70,62
"Exp08",1,1,1,1,1
"Exp09",1,1,1,1,1
"Exp10",18,57,113,70,62
"Exp11",1,1,1,1,1
"Exp12",1,1,1,1,1
"Exp13",18,57,113,70,62
"Exp14",1,1,1,1,1
"Exp15",1,1,1,1,1
"Exp16",18,57,113,70,62
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",86,100,100,100,100
"Exp21",NA,NA,NA,NA,NA
"Exp22",NA,NA,NA,NA,NA
"Exp23",NA,NA,NA,NA,NA
"Exp24",100,100,100,99,94
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",98,87,88,100,99
"Exp29",100,100,100,98,100
"Exp30",49,50,50,50,50
"Exp31",NA,NA,NA,NA,NA
"Exp32",49,48,49,48,39
"Exp33",98,100,99,99,100
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",100,99,100,98,98
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",93,83,97,93,100
"Exp42",100,93,100,99,98
"Exp43",50,50,50,49,50
"Exp44",NA,NA,NA,NA,NA
"Exp45",48,50,50,46,43
"Exp46",90,40,73,30,91
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",79,44,38,25,52
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",99,90,45,29,100
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",38,37,50,44,47
"Exp59",98,47,72,96,100
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",74,44,34,24,51
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",97,47,45,92,99
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",47,42,40,44,45
"Exp72",100,100,100,100,100
"Exp73",100,100,100,100,100
"Exp74",500,500,500,500,500
"Exp75",500,500,500,500,500
"Exp76",100,100,100,100,100
"Exp77",100,100,100,100,100
"Exp78",500,500,500,500,500
"Exp79",500,500,500,500,500
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
