"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.7017,0.8419,0.6089,0.6844,0.9952
"Exp02",0.673,0.8387,0.7233,0.4852,1
"Exp03",0.6116,0.885,0.6089,0.6103,0.9716
"Exp04",0.673,0.8387,0.7233,0.5779,1
"Exp05",0.204,0.2093,0.1721,0.1659,0.4206
"Exp06",0.204,0.2093,0.1721,0.1659,0.4206
"Exp07",0.3586,0.2256,0.1937,0.2388,0.4678
"Exp08",0.204,0.2093,0.1721,0.1659,0.4206
"Exp09",0.204,0.2093,0.1721,0.1659,0.4206
"Exp10",0.516,0.6674,0.3229,0.3737,0.4621
"Exp11",0.204,0.2093,0.1721,0.1659,0.4206
"Exp12",0.204,0.2093,0.1721,0.1659,0.4206
"Exp13",0.5723,0.6194,0.4468,0.4561,0.5787
"Exp14",0.204,0.2093,0.1721,0.1659,0.4206
"Exp15",0.204,0.2093,0.1721,0.1659,0.4206
"Exp16",0.5725,0.6301,0.452,0.5044,0.5787
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.6978,0.8903,0.8313,0.7644,0.9373
"Exp21",NA,NA,NA,NA,NA
"Exp22",NA,NA,NA,NA,NA
"Exp23",NA,NA,NA,NA,NA
"Exp24",0.6384,0.8527,0.9026,0.5332,0.9485
"Exp25",NA,NA,NA,NA,NA
"Exp26",NA,NA,NA,NA,NA
"Exp27",NA,NA,NA,NA,NA
"Exp28",0.6777,0.85,0.6985,0.8289,0.9496
"Exp29",0.7251,0.9003,0.8539,0.7647,0.9681
"Exp30",0.6243,0.8498,0.8448,0.7757,0.9173
"Exp31",NA,NA,NA,NA,NA
"Exp32",0.6429,0.8757,0.7677,0.8613,0.939
"Exp33",0.554,0.9084,0.8983,0.8061,0.9866
"Exp34",NA,NA,NA,NA,NA
"Exp35",NA,NA,NA,NA,NA
"Exp36",NA,NA,NA,NA,NA
"Exp37",0.6347,0.8773,0.708,0.7723,1
"Exp38",NA,NA,NA,NA,NA
"Exp39",NA,NA,NA,NA,NA
"Exp40",NA,NA,NA,NA,NA
"Exp41",0.6847,0.8895,0.7131,0.615,0.9889
"Exp42",0.5711,0.9005,0.919,0.8195,1
"Exp43",0.6556,0.5959,0.6986,0.5574,0.9257
"Exp44",NA,NA,NA,NA,NA
"Exp45",0.5378,0.8754,0.7394,0.7895,0.9739
"Exp46",0.6299,0.8373,0.7037,0.7514,0.937
"Exp47",NA,NA,NA,NA,NA
"Exp48",NA,NA,NA,NA,NA
"Exp49",NA,NA,NA,NA,NA
"Exp50",0.6489,0.8498,0.594,0.4996,0.9049
"Exp51",NA,NA,NA,NA,NA
"Exp52",NA,NA,NA,NA,NA
"Exp53",NA,NA,NA,NA,NA
"Exp54",0.5948,0.8402,0.7769,0.7514,0.9218
"Exp55",NA,NA,NA,NA,NA
"Exp56",NA,NA,NA,NA,NA
"Exp57",NA,NA,NA,NA,NA
"Exp58",0.5745,0.8905,0.6189,0.7547,0.9156
"Exp59",0.6782,0.8874,0.5442,0.6409,0.9364
"Exp60",NA,NA,NA,NA,NA
"Exp61",NA,NA,NA,NA,NA
"Exp62",NA,NA,NA,NA,NA
"Exp63",0.6677,0.8966,0.5974,0.4474,0.9023
"Exp64",NA,NA,NA,NA,NA
"Exp65",NA,NA,NA,NA,NA
"Exp66",NA,NA,NA,NA,NA
"Exp67",0.5711,0.843,0.6877,0.7739,0.9448
"Exp68",NA,NA,NA,NA,NA
"Exp69",NA,NA,NA,NA,NA
"Exp70",NA,NA,NA,NA,NA
"Exp71",0.6264,0.9194,0.5416,0.7862,0.9028
"Exp72",0.5415,0.62,0.3895,0.4836,0.5381
"Exp73",0.6873,0.7975,0.8602,0.8126,0.9486
"Exp74",0.5724,0.6243,0.2851,0.6103,0.7328
"Exp75",0.6383,0.9059,0.765,0.7517,0.9931
"Exp76",0.611,0.917,0.3777,0.4655,0.689
"Exp77",0.7231,0.855,0.6663,0.5635,1
"Exp78",0.5928,0.6368,0.2932,0.4707,0.8135
"Exp79",0.6036,0.8497,0.6361,0.604,0.9716
"Exp80",NA,NA,NA,NA,NA
"Exp81",NA,NA,NA,NA,NA
"Exp82",NA,NA,NA,NA,NA
"Exp83",NA,NA,NA,NA,NA
"Exp84",NA,NA,NA,NA,NA
"Exp85",NA,NA,NA,NA,NA
"Exp86",NA,NA,NA,NA,NA
"Exp87",NA,NA,NA,NA,NA
