"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.7376,0.8091,0.9034,0.8791,0.8834
"Exp02",0.7119,0.8569,0.8074,0.784,0.8868
"Exp03",0.7376,0.8091,0.8477,0.8791,0.8834
"Exp04",0.7119,0.8569,0.95,0.784,0.8649
"Exp05",0.8883,0.8442,0.7504,0.7363,0.5948
"Exp06",0.9405,0.9366,0.95,0.9432,0.873
"Exp07",0.9499,0.962,0.9696,0.9735,0.9729
"Exp08",0.8538,0.7739,0.7504,0.8477,0.7174
"Exp09",0.7943,0.6376,0.8547,0.7847,0.8094
"Exp10",0.8697,0.7596,0.848,0.8261,0.8514
"Exp11",0.8531,0.8666,0.8117,0.8598,0.8638
"Exp12",0.8721,0.8737,0.8818,0.7769,0.7726
"Exp13",0.7267,0.7254,0.7977,0.8047,0.7557
"Exp14",0.8115,0.8666,0.9515,0.8598,0.8942
"Exp15",0.8379,0.8741,0.8818,0.913,0.8507
"Exp16",0.8043,0.7796,0.7371,0.8949,0.7557
"Exp17",0.6459,0.6079,0.8247,0.6937,0.7157
"Exp18",0.6459,0.6079,0.8247,0.6937,0.7157
"Exp19",0.8599,0.6079,0.8247,0.6937,0.7157
"Exp20",0.9443,0.8467,0.8253,0.8632,0.8474
"Exp21",0.7863,0.8432,0.8063,0.8632,0.8474
"Exp22",0.9388,0.8303,0.8141,0.8632,0.8451
"Exp23",0.8337,0.8432,0.8063,0.8632,0.8542
"Exp24",0.9388,0.8303,0.8141,0.8632,0.8451
"Exp25",0.9293,0.8303,0.8083,0.8707,0.8473
"Exp26",0.9388,0.8303,0.785,0.8632,0.8472
"Exp27",0.9388,0.8303,0.8141,0.8632,0.8451
"Exp28",0.9388,0.8467,0.9336,0.8632,0.8474
"Exp29",0.9293,0.8303,0.8083,0.8707,0.964
"Exp30",0.8743,0.8233,0.899,0.8908,0.9531
"Exp31",0.8833,0.8018,0.8267,0.9351,0.8439
"Exp32",0.8833,0.8018,0.8267,0.8623,0.8439
"Exp33",0.8605,0.8454,0.7485,0.8707,0.85
"Exp34",0.7998,0.9688,0.8131,0.9457,0.8474
"Exp35",0.8113,0.8309,0.8818,0.9254,0.964
"Exp36",0.9032,0.8883,0.8131,0.8707,0.8533
"Exp37",0.8113,0.8309,0.9229,0.8707,0.964
"Exp38",0.7186,0.8296,0.8818,0.8707,0.964
"Exp39",0.8113,0.8309,0.8317,0.8707,0.8159
"Exp40",0.9221,0.8309,0.8317,0.9265,0.9028
"Exp41",0.8791,0.8454,0.7773,0.8707,0.8542
"Exp42",0.9521,0.8291,0.8818,0.8707,0.8951
"Exp43",0.8074,0.8934,0.899,0.8487,0.8774
"Exp44",0.8736,0.9021,0.8225,0.8338,0.9473
"Exp45",0.775,0.8449,0.826,0.9357,0.894
"Exp46",0.7769,0.8445,0.8297,0.8761,0.8651
"Exp47",0.7778,0.8574,0.8171,0.8723,0.9821
"Exp48",0.7863,0.8445,0.8246,0.8799,0.8632
"Exp49",0.8181,0.8472,0.8252,0.8723,0.9667
"Exp50",0.7863,0.8445,0.8246,0.8799,0.9763
"Exp51",0.7688,0.8472,0.8267,0.881,0.8546
"Exp52",0.7863,0.8368,0.8153,0.8893,0.8631
"Exp53",0.7863,0.834,0.8261,0.8799,0.8631
"Exp54",0.775,0.8393,0.8277,0.9378,0.8688
"Exp55",0.7688,0.8472,0.828,0.8893,0.8546
"Exp56",0.8271,0.8603,0.899,0.9382,0.8442
"Exp57",0.8271,0.761,0.821,0.8681,0.9473
"Exp58",0.8271,0.8294,0.8298,0.8681,0.8412
"Exp59",0.7769,0.885,0.8246,0.8925,0.9821
"Exp60",0.7661,0.8601,0.8818,0.8643,0.8653
"Exp61",0.7789,0.8415,0.8217,0.8832,0.8974
"Exp62",0.8181,0.719,0.7872,0.938,0.8655
"Exp63",0.9521,0.8239,0.8341,0.9369,0.9153
"Exp64",0.7688,0.8434,0.8179,0.938,0.973
"Exp65",0.9521,0.8393,0.8217,0.9244,0.9169
"Exp66",0.775,0.8393,0.8225,0.8832,0.9763
"Exp67",0.9521,0.8393,0.8231,0.9244,0.9098
"Exp68",0.7688,0.7624,0.8231,0.8917,0.8409
"Exp69",0.7825,0.8198,0.899,0.8917,0.9531
"Exp70",0.8736,0.9559,0.8709,0.8623,0.8576
"Exp71",0.7825,0.8603,0.8183,0.8106,0.8439
"Exp72",0.7883,0.8673,0.8023,0.8752,0.8546
"Exp73",0.8968,0.8438,0.8117,0.8632,0.964
"Exp74",0.7883,0.8432,0.7769,0.869,0.8549
"Exp75",0.7876,0.8432,0.8051,0.8632,0.8631
"Exp76",0.7974,0.8415,0.7507,0.8884,0.8856
"Exp77",0.922,0.8934,0.8117,0.8295,0.8576
"Exp78",0.7863,0.8485,0.8818,0.938,0.8552
"Exp79",0.8779,0.9688,0.9393,0.8632,0.8521
"Exp80",0.9443,0.8467,0.9007,0.8632,0.8564
"Exp81",0.8326,0.7351,0.7729,0.8988,0.9412
"Exp82",0.7883,0.8432,0.8117,0.8721,0.8521
"Exp83",0.8326,0.7351,0.7729,0.8988,0.9412
"Exp84",0.8801,0.8325,0.7861,0.846,0.9028
"Exp85",0.8326,0.7351,0.8023,0.8988,0.9306
"Exp86",0.869,0.8423,0.8051,0.9457,0.8973
"Exp87",0.8326,0.7351,0.8023,0.8988,0.9306
