"ExpID","off1","off2","off3","off4","off5"
"Exp01",236.5935,216.7257,227.2958,226.0979,187.795
"Exp02",236.6954,231.3904,203.5602,196.8123,213.0951
"Exp03",236.5935,216.7257,204.9493,226.0979,187.795
"Exp04",236.6954,231.3904,206.9217,196.8123,226.0382
"Exp05",204.2385,253.2987,285.0285,512.8831,362.8639
"Exp06",80.3446,110.9258,132.5139,136.5723,141.17
"Exp07",203.8258,101.7472,53.5326,41.7422,35.6165
"Exp08",364.8416,327.1199,285.0285,278.3341,301.5924
"Exp09",348.5086,356.4847,244.147,393.1581,298.594
"Exp10",421.4995,330.326,289.6829,421.4561,345.0663
"Exp11",299.386,227.3197,213.5318,198.4406,197.1773
"Exp12",339.2455,320.1232,254.635,440.3574,376.5455
"Exp13",435.3941,361.3922,260.1463,460.302,371.1622
"Exp14",248.9945,222.7158,241.1991,196.9634,285.266
"Exp15",386.528,315.8813,246.2958,232.6435,213.9515
"Exp16",392.8067,341.7423,244.4182,212.4749,347.5594
"Exp17",456.1754,420.7678,350.3373,482.4824,389.7818
"Exp18",456.1754,420.7678,350.3373,482.4824,389.7818
"Exp19",326.506,420.7678,350.3373,482.4824,389.7818
"Exp20",209.2319,207.5343,202.8637,191.9131,184.9732
"Exp21",236.4535,209.6246,204.7631,192.2448,186.6873
"Exp22",212.8104,210.4565,204.4283,189.9284,185.951
"Exp23",221.3607,210.0465,205.3643,190.1439,185.4831
"Exp24",212.6585,210.4959,204.6028,189.9922,185.9701
"Exp25",215.5478,208.1139,205.397,189.6069,184.3725
"Exp26",212.7256,210.4566,212.7538,189.9183,185.1042
"Exp27",211.8937,210.472,204.6561,189.9945,185.9535
"Exp28",211.2496,207.5691,206.7168,192.6606,185.5187
"Exp29",215.4227,208.1449,205.4225,189.5693,182.7394
"Exp30",219.0445,227.3759,210.2615,205.4798,204.089
"Exp31",219.7289,239.5759,212.6094,220.112,193.6027
"Exp32",219.9606,239.5359,212.6345,202.8447,193.4982
"Exp33",261.7827,200.6709,217.6281,187.4844,236.7515
"Exp34",227.0649,239.6217,202.5201,206.3167,188.208
"Exp35",218.5178,201.8948,216.7491,210.8402,181.0967
"Exp36",323.8312,263.5169,202.8445,189.8264,187.273
"Exp37",218.4919,201.1708,235.9296,187.7655,181.1204
"Exp38",241.5859,203.6453,224.0486,187.5816,180.6298
"Exp39",218.4649,201.1786,216.2617,187.7518,236.3475
"Exp40",320.0563,201.1875,216.8662,210.9472,253.049
"Exp41",265.0897,200.6702,215.4869,187.6635,181.6893
"Exp42",204.1571,270.6869,219.1633,187.6393,236.8556
"Exp43",222.7563,290.219,206.5128,194.5753,248.6532
"Exp44",328.8989,263.7048,208.5799,193.1743,191.7152
"Exp45",223.4464,217.9084,208.0137,217.4525,250.456
"Exp46",241.4049,222.2929,205.7984,204.7204,194.6133
"Exp47",268.5275,238.1285,213.4825,207.865,205.5344
"Exp48",243.3428,225.142,207.4654,215.1693,196.5364
"Exp49",324.1209,236.7464,223.0919,208.2874,219.5723
"Exp50",243.6393,223.7479,207.2239,214.7899,213.651
"Exp51",256.5658,228.0714,217.8747,204.6851,194.0332
"Exp52",240.2997,232.7139,212.5101,206.4939,194.6966
"Exp53",242.0355,229.2269,206.7007,214.674,195.4723
"Exp54",233.4824,218.9614,207.7231,220.4568,191.2467
"Exp55",255.7633,224.39,221.3357,208.9625,194.6716
"Exp56",220.4196,231.1659,210.6498,223.595,193.1068
"Exp57",225.2492,270.8524,211.5713,204.6975,213.0215
"Exp58",225.3172,250.8946,212.1077,204.6976,195.0898
"Exp59",229.9163,266.796,203.7807,194.2731,190.9357
"Exp60",269.3228,225.8024,227.1806,196.4089,193.5193
"Exp61",232.5146,217.8348,209.3421,206.4808,262.6811
"Exp62",308.0449,296.2978,220.0847,205.693,192.3685
"Exp63",205.8875,282.0876,219.0864,217.2357,255.4495
"Exp64",244.0787,219.1024,217.321,204.0639,192.4978
"Exp65",205.1323,215.7755,208.1945,214.8822,257.2344
"Exp66",227.4169,216.3801,217.7474,206.5653,192.5548
"Exp67",204.4652,212.568,205.1798,217.8391,247.1866
"Exp68",243.7466,280.0891,205.6269,195.1945,249.6408
"Exp69",225.3678,270.7029,207.892,194.4244,191.9548
"Exp70",347.5915,243.7518,235.8941,192.1407,253.1542
"Exp71",229.3834,229.434,207.1654,197.1162,191.9501
"Exp72",280.6028,224.0263,221.5717,206.6587,188.1018
"Exp73",215.0912,206.2209,203.975,192.2425,197.6583
"Exp74",252.23,224.7114,216.0224,198.3251,190.2366
"Exp75",241.7374,212.2373,204.9146,192.1854,184.0409
"Exp76",263.5714,237.3026,229.6601,200.5461,256.0688
"Exp77",212.6618,287.9654,201.8673,195.8118,242.7476
"Exp78",235.7801,215.0592,228.9826,218.4094,191.3655
"Exp79",276.2788,246.4536,265.8735,193.2148,188.6214
"Exp80",207.652,205.0363,204.8518,191.9065,185.7608
"Exp81",306.6909,403.7679,294.8128,444.418,331.2633
"Exp82",239.9339,212.7273,203.738,194.4729,185.7112
"Exp83",306.6909,403.768,294.8128,444.4177,331.2632
"Exp84",263.8966,200.2986,215.422,188.4482,251.5461
"Exp85",304.7467,402.1434,262.2868,413.6163,329.3431
"Exp86",336.4604,209.3838,202.9356,210.7467,243.091
"Exp87",304.7467,402.1434,262.2868,413.6163,329.3431
