"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.3752,0.3857,0.0126,0.2108,0.3372
"Exp02",0.369,0.2498,0.4042,0.4446,0.2421
"Exp03",0.3752,0.3857,0.1685,0.2108,0.3372
"Exp04",0.369,0.2498,0.4484,0.4446,0.2536
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",0.412,0.4318,0.4069,0.4947,0.4406
"Exp12",0.3999,0.3861,0.5128,0.3747,0.3167
"Exp13",0.3112,0.3815,0.3076,0.4024,0.3679
"Exp14",0.4304,0.4318,0.4337,0.4947,0.4801
"Exp15",0.3595,0.389,0.5128,0.4179,0.4541
"Exp16",0.2498,0.3144,0.4091,0.4899,0.3679
"Exp17",0.3828,0.4074,0.4728,0.4085,0.385
"Exp18",0.3828,0.4074,0.4728,0.4085,0.385
"Exp19",0.4099,0.4074,0.4728,0.4085,0.385
"Exp20",0.5133,0.442,0.3411,0.4951,0.4609
"Exp21",0.436,0.4358,0.4078,0.4951,0.4609
"Exp22",0.4987,0.4336,0.333,0.4951,0.4621
"Exp23",0.4614,0.4358,0.4078,0.4951,0.4609
"Exp24",0.4987,0.4336,0.333,0.4951,0.4621
"Exp25",0.506,0.4336,0.4029,0.4978,0.4572
"Exp26",0.4987,0.4336,0.3575,0.4951,0.462
"Exp27",0.4987,0.4336,0.333,0.4951,0.4621
"Exp28",0.4987,0.442,0.372,0.4951,0.4609
"Exp29",0.506,0.4336,0.4029,0.4978,0.4979
"Exp30",0.4738,0.4194,0.3533,0.4967,0.4767
"Exp31",0.4779,0.4044,0.3202,0.4107,0.4412
"Exp32",0.4779,0.4044,0.3202,0.4915,0.4412
"Exp33",0.4636,0.4416,0.4294,0.4978,0.4999
"Exp34",0.4561,0.4269,0.406,0.5049,0.4609
"Exp35",0.4687,0.4376,0.5239,0.4413,0.4979
"Exp36",0.412,0.4668,0.406,0.4978,0.4584
"Exp37",0.4687,0.4376,0.4235,0.4978,0.4979
"Exp38",0.4453,0.4354,0.4751,0.4978,0.4979
"Exp39",0.4687,0.4376,0.4314,0.4978,0.5266
"Exp40",0.4652,0.4376,0.4314,0.4422,0.4894
"Exp41",0.4339,0.4416,0.4284,0.4978,0.4609
"Exp42",0.5138,0.4109,0.5128,0.4978,0.4962
"Exp43",0.4696,0.4204,0.3533,0.5005,0.4704
"Exp44",0.4279,0.4787,0.3403,0.4935,0.4751
"Exp45",0.4502,0.4261,0.3283,0.4149,0.4672
"Exp46",0.4422,0.4247,0.3394,0.4946,0.4402
"Exp47",0.443,0.427,0.3424,0.4944,0.4878
"Exp48",0.436,0.4247,0.3396,0.4976,0.4313
"Exp49",0.566,0.4222,0.311,0.4944,0.4817
"Exp50",0.436,0.4247,0.3396,0.4976,0.4862
"Exp51",0.4498,0.4222,0.3213,0.4942,0.4381
"Exp52",0.436,0.425,0.3306,0.4998,0.4372
"Exp53",0.436,0.4226,0.3428,0.4976,0.4372
"Exp54",0.4451,0.4316,0.3378,0.439,0.4447
"Exp55",0.4498,0.4222,0.307,0.4998,0.4381
"Exp56",0.4699,0.4095,0.3533,0.441,0.4427
"Exp57",0.4699,0.4219,0.3191,0.4929,0.4751
"Exp58",0.4699,0.3998,0.3117,0.4929,0.4347
"Exp59",0.4422,0.4775,0.3396,0.501,0.4878
"Exp60",0.4319,0.4245,0.4822,0.4982,0.4525
"Exp61",0.4392,0.4289,0.3366,0.5003,0.5866
"Exp62",0.566,0.3761,0.4034,0.5166,0.4513
"Exp63",0.5138,0.392,0.3462,0.4348,0.4843
"Exp64",0.4498,0.4294,0.4174,0.5166,0.4923
"Exp65",0.5138,0.4316,0.3366,0.4373,0.4799
"Exp66",0.4451,0.4316,0.3409,0.5003,0.4862
"Exp67",0.5138,0.4316,0.3359,0.4373,0.4936
"Exp68",0.4498,0.3856,0.3359,0.4974,0.5301
"Exp69",0.446,0.4231,0.3533,0.4974,0.4767
"Exp70",0.4279,0.4245,0.475,0.4915,0.5264
"Exp71",0.446,0.4095,0.3301,0.4741,0.4412
"Exp72",0.4222,0.4176,0.398,0.494,0.4482
"Exp73",0.4841,0.4375,0.4069,0.4951,0.4979
"Exp74",0.4326,0.4358,0.3788,0.4951,0.4456
"Exp75",0.434,0.4358,0.408,0.4951,0.4559
"Exp76",0.4249,0.4115,0.3328,0.4941,0.4777
"Exp77",0.4864,0.4147,0.4069,0.4914,0.5264
"Exp78",0.436,0.433,0.5014,0.5166,0.447
"Exp79",0.4431,0.4269,0.4264,0.4951,0.4562
"Exp80",0.5133,0.442,0.3586,0.4951,0.4555
"Exp81",0.4617,0.3089,0.3917,0.5006,0.4543
"Exp82",0.4326,0.4358,0.4069,0.4959,0.4562
"Exp83",0.4617,0.3089,0.3917,0.5006,0.4543
"Exp84",0.4406,0.4394,0.4208,0.4876,0.4894
"Exp85",0.4617,0.3089,0.3388,0.5006,0.4474
"Exp86",0.4353,0.4356,0.408,0.5049,0.4837
"Exp87",0.4617,0.3089,0.3388,0.5006,0.4474
