"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.6422,0.5811,0.5419,0.8038,0.5747
"Exp02",0.6316,0.6402,0.6039,0.719,0.6787
"Exp03",0.6422,0.5811,0.6395,0.8038,0.5747
"Exp04",0.6316,0.6402,0.9803,0.719,0.4579
"Exp05",0.7654,0.7055,0.6551,0.5129,0.5781
"Exp06",0.0962,0.3251,0.6702,0.665,0.8304
"Exp07",-0.0494,-0.0523,-0.0048,0.0703,0.0986
"Exp08",0.6677,0.6269,0.6551,0.5712,0.6366
"Exp09",0.298,0.3756,0.6787,0.5722,0.734
"Exp10",0.0485,0.1313,0.2655,0.3806,0.5546
"Exp11",0.5291,0.6479,0.6423,0.7115,0.6035
"Exp12",0.5463,0.6511,0.5461,0.5498,0.4162
"Exp13",0.5381,0.4559,0.4612,0.5181,0.4064
"Exp14",0.6738,0.6479,0.7168,0.7115,0.5484
"Exp15",0.5687,0.6593,0.5461,0.5672,0.5753
"Exp16",0.403,0.3643,0.7474,0.7941,0.4064
"Exp17",0.5593,0.5358,0.6235,0.572,0.59
"Exp18",0.5593,0.5358,0.6235,0.572,0.59
"Exp19",0.7437,0.5358,0.6235,0.572,0.59
"Exp20",0.9061,0.6179,0.4359,0.724,0.5659
"Exp21",0.6748,0.6151,0.6072,0.724,0.5659
"Exp22",0.9063,0.5922,0.3836,0.724,0.5689
"Exp23",0.7379,0.6151,0.6072,0.724,0.5684
"Exp24",0.9063,0.5922,0.3836,0.724,0.5689
"Exp25",0.884,0.5922,0.6077,0.7265,0.5654
"Exp26",0.9063,0.5922,0.4508,0.724,0.5676
"Exp27",0.9063,0.5922,0.3836,0.724,0.5689
"Exp28",0.9063,0.6179,0.7121,0.724,0.5659
"Exp29",0.884,0.5922,0.6077,0.7265,0.9403
"Exp30",0.7875,0.5553,0.6411,0.8125,0.9395
"Exp31",0.8048,0.6092,0.3838,0.6475,0.5627
"Exp32",0.8048,0.6092,0.3838,0.7337,0.5627
"Exp33",0.5312,0.6212,0.5605,0.7265,0.6303
"Exp34",0.707,0.9552,0.6385,0.8598,0.5659
"Exp35",0.7052,0.6027,0.552,0.606,0.9403
"Exp36",0.6306,0.5678,0.6385,0.7265,0.5695
"Exp37",0.7052,0.6027,0.6617,0.7265,0.9403
"Exp38",0.5668,0.5983,0.5446,0.7265,0.9403
"Exp39",0.7052,0.6027,0.7813,0.7265,0.6692
"Exp40",0.6896,0.6027,0.7813,0.608,0.5686
"Exp41",0.536,0.6212,0.6967,0.7265,0.5684
"Exp42",0.9286,0.6141,0.5461,0.7265,0.6036
"Exp43",0.7059,0.5908,0.6411,0.8404,0.5937
"Exp44",0.6304,0.5684,0.3993,0.7391,0.914
"Exp45",0.6697,0.5976,0.3987,0.6412,0.6119
"Exp46",0.6535,0.6161,0.4112,0.7796,0.6233
"Exp47",0.6532,0.6389,0.3905,0.7838,0.979
"Exp48",0.6748,0.6161,0.4017,0.748,0.6064
"Exp49",0.7034,0.6103,0.4014,0.7838,0.9588
"Exp50",0.6748,0.6161,0.4017,0.748,0.9535
"Exp51",0.6589,0.6103,0.4109,0.7829,0.5845
"Exp52",0.6748,0.6152,0.4249,0.7757,0.6056
"Exp53",0.6748,0.6225,0.4024,0.748,0.6056
"Exp54",0.6579,0.609,0.3978,0.6266,0.6129
"Exp55",0.6589,0.6103,0.4047,0.7757,0.5845
"Exp56",0.7304,0.6079,0.6411,0.6256,0.5662
"Exp57",0.7304,0.5398,0.4033,0.7228,0.914
"Exp58",0.7304,0.5821,0.4016,0.7228,0.5662
"Exp59",0.6535,0.5702,0.4017,0.8088,0.979
"Exp60",0.5046,0.633,0.5446,0.8226,0.605
"Exp61",0.6472,0.604,0.4061,0.7244,0.7442
"Exp62",0.7034,0.462,0.6964,0.9321,0.6034
"Exp63",0.9286,0.5285,0.5391,0.6317,0.5782
"Exp64",0.6589,0.6002,0.737,0.9321,0.9591
"Exp65",0.9286,0.609,0.4061,0.6101,0.5753
"Exp66",0.6579,0.609,0.5223,0.7244,0.9535
"Exp67",0.9286,0.609,0.4021,0.6101,0.6218
"Exp68",0.6589,0.5071,0.4021,0.8184,0.68
"Exp69",0.6771,0.6356,0.6411,0.8184,0.9395
"Exp70",0.6304,0.9341,0.4632,0.7337,0.6947
"Exp71",0.6771,0.6079,0.4104,0.6633,0.5627
"Exp72",0.6684,0.6425,0.6675,0.7662,0.5845
"Exp73",0.8224,0.6175,0.6423,0.724,0.9403
"Exp74",0.6684,0.6151,0.6217,0.7385,0.5831
"Exp75",0.6716,0.6151,0.6105,0.724,0.5864
"Exp76",0.6722,0.5965,0.6078,0.7948,0.598
"Exp77",0.8848,0.6593,0.6423,0.7919,0.6947
"Exp78",0.6748,0.6239,0.5461,0.9321,0.586
"Exp79",0.5254,0.9552,0.6827,0.724,0.5718
"Exp80",0.9061,0.6179,0.6433,0.724,0.584
"Exp81",0.7153,0.3909,0.5953,0.8185,0.9017
"Exp82",0.6684,0.6151,0.6423,0.7514,0.5718
"Exp83",0.7153,0.3909,0.5953,0.8185,0.9017
"Exp84",0.5564,0.5983,0.6425,0.725,0.5686
"Exp85",0.7153,0.3909,0.4264,0.8185,0.8796
"Exp86",0.6366,0.6179,0.6105,0.8598,0.6093
"Exp87",0.7153,0.3909,0.4264,0.8185,0.8796
