"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.8147,0.7645,0.6843,0.9404,0.7556
"Exp02",0.7825,0.7952,0.7797,0.8871,0.8362
"Exp03",0.8147,0.7645,0.8173,0.9404,0.7556
"Exp04",0.7825,0.7952,0.9976,0.8871,0.6928
"Exp05",0.8957,0.8355,0.704,0.6148,0.6208
"Exp06",0.3774,0.601,0.8667,0.9236,0.9249
"Exp07",0.2716,0.2662,0.3419,0.4101,0.4268
"Exp08",0.7411,0.7236,0.704,0.6633,0.6793
"Exp09",0.4879,0.5442,0.819,0.6755,0.779
"Exp10",0.3232,0.3678,0.5103,0.5932,0.6885
"Exp11",0.6492,0.7885,0.806,0.8683,0.7782
"Exp12",0.6584,0.7254,0.6786,0.6488,0.5975
"Exp13",0.6303,0.6135,0.7097,0.6129,0.5933
"Exp14",0.7743,0.7885,0.8673,0.8683,0.6853
"Exp15",0.6529,0.7277,0.6786,0.7983,0.7449
"Exp16",0.5868,0.5703,0.8701,0.8834,0.5933
"Exp17",0.6217,0.6091,0.6815,0.6416,0.6128
"Exp18",0.6217,0.6091,0.6815,0.6416,0.6128
"Exp19",0.8302,0.6091,0.6815,0.6416,0.6128
"Exp20",0.9384,0.7803,0.7096,0.8785,0.7363
"Exp21",0.7974,0.779,0.7838,0.8785,0.7363
"Exp22",0.9521,0.7652,0.668,0.8785,0.7386
"Exp23",0.844,0.779,0.7838,0.8785,0.7339
"Exp24",0.9521,0.7652,0.668,0.8785,0.7386
"Exp25",0.9274,0.7652,0.7764,0.8789,0.7374
"Exp26",0.9521,0.7652,0.6931,0.8785,0.7357
"Exp27",0.9521,0.7652,0.668,0.8785,0.7386
"Exp28",0.9521,0.7803,0.9092,0.8785,0.7363
"Exp29",0.9274,0.7652,0.7764,0.8789,0.9524
"Exp30",0.8716,0.7332,0.8728,0.9227,0.9734
"Exp31",0.8827,0.7847,0.6622,0.864,0.7433
"Exp32",0.8827,0.7847,0.6622,0.8866,0.7433
"Exp33",0.647,0.7837,0.6966,0.8789,0.6861
"Exp34",0.8204,0.9805,0.8038,0.9419,0.7363
"Exp35",0.8117,0.7738,0.6806,0.8417,0.9524
"Exp36",0.7056,0.6813,0.8038,0.8789,0.7372
"Exp37",0.8117,0.7738,0.829,0.8789,0.9524
"Exp38",0.6965,0.77,0.678,0.8789,0.9524
"Exp39",0.8117,0.7738,0.9188,0.8789,0.7009
"Exp40",0.7329,0.7738,0.9188,0.8405,0.7009
"Exp41",0.6516,0.7837,0.8487,0.8789,0.7339
"Exp42",0.9592,0.7111,0.6786,0.8789,0.674
"Exp43",0.8091,0.6746,0.8728,0.9409,0.6679
"Exp44",0.6992,0.6766,0.6565,0.8919,0.9458
"Exp45",0.7868,0.7599,0.6811,0.8622,0.6787
"Exp46",0.7748,0.7798,0.6939,0.9076,0.7938
"Exp47",0.7559,0.7933,0.6633,0.9104,0.9913
"Exp48",0.7974,0.7798,0.6882,0.8877,0.7772
"Exp49",0.7031,0.7727,0.6813,0.9104,0.9824
"Exp50",0.7974,0.7798,0.6882,0.8877,0.9639
"Exp51",0.76,0.7727,0.697,0.9097,0.7571
"Exp52",0.7974,0.7825,0.7046,0.9021,0.7793
"Exp53",0.7974,0.7891,0.6869,0.8877,0.7793
"Exp54",0.7783,0.7762,0.6826,0.8568,0.7839
"Exp55",0.76,0.7727,0.6903,0.9021,0.7571
"Exp56",0.8215,0.7605,0.8728,0.856,0.7385
"Exp57",0.8215,0.6762,0.6878,0.8761,0.9458
"Exp58",0.8215,0.7572,0.681,0.8761,0.7537
"Exp59",0.7748,0.6839,0.6882,0.9201,0.9913
"Exp60",0.6535,0.7862,0.678,0.9312,0.7739
"Exp61",0.7666,0.7703,0.6929,0.8659,0.7261
"Exp62",0.7031,0.6222,0.8808,0.9751,0.7749
"Exp63",0.9592,0.6734,0.758,0.8591,0.7098
"Exp64",0.76,0.7649,0.9006,0.9751,0.9716
"Exp65",0.9592,0.7762,0.6929,0.8438,0.7078
"Exp66",0.7783,0.7762,0.7513,0.8659,0.9639
"Exp67",0.9592,0.7762,0.6899,0.8438,0.6838
"Exp68",0.76,0.6713,0.6899,0.9279,0.7045
"Exp69",0.792,0.7141,0.8728,0.9279,0.9734
"Exp70",0.6992,0.9704,0.6364,0.8866,0.7105
"Exp71",0.792,0.7605,0.6979,0.8505,0.7433
"Exp72",0.7888,0.7823,0.8173,0.8816,0.7571
"Exp73",0.8753,0.7812,0.806,0.8785,0.9524
"Exp74",0.7888,0.779,0.7969,0.8819,0.7575
"Exp75",0.7942,0.779,0.7856,0.8785,0.7524
"Exp76",0.7755,0.7498,0.7873,0.8935,0.6667
"Exp77",0.9448,0.7264,0.806,0.9188,0.7105
"Exp78",0.7974,0.7759,0.6786,0.9751,0.7598
"Exp79",0.6482,0.9805,0.8345,0.8785,0.7408
"Exp80",0.9384,0.7803,0.8609,0.8785,0.7551
"Exp81",0.7976,0.6056,0.7455,0.9217,0.9613
"Exp82",0.7888,0.779,0.806,0.8926,0.7408
"Exp83",0.7976,0.6056,0.7455,0.9217,0.9613
"Exp84",0.6586,0.77,0.8074,0.8819,0.7009
"Exp85",0.7976,0.6056,0.6789,0.9217,0.9495
"Exp86",0.7027,0.7803,0.7856,0.9419,0.675
"Exp87",0.7976,0.6056,0.6789,0.9217,0.9495
