"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.6762,0.6356,0.7271,0.8005,0.6418
"Exp02",0.6924,0.6914,0.6908,0.7372,0.7118
"Exp03",0.6762,0.6356,0.7008,0.8005,0.6418
"Exp04",0.6924,0.6914,0.9766,0.7372,0.5321
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",0.7033,0.7097,0.7165,0.7443,0.6609
"Exp12",0.7195,0.7974,0.7452,0.8047,0.5896
"Exp13",0.7588,0.6247,0.5587,0.8315,0.5777
"Exp14",0.7669,0.7097,0.7563,0.7443,0.688
"Exp15",0.7737,0.8083,0.7452,0.6147,0.6543
"Exp16",0.5705,0.5214,0.7949,0.8417,0.5777
"Exp17",0.8252,0.8029,0.8866,0.8704,0.9392
"Exp18",0.8252,0.8029,0.8866,0.8704,0.9392
"Exp19",0.8083,0.8029,0.8866,0.8704,0.9392
"Exp20",0.9295,0.6737,0.5213,0.7515,0.6497
"Exp21",0.7412,0.671,0.6908,0.7515,0.6497
"Exp22",0.916,0.6513,0.4868,0.7515,0.6517
"Exp23",0.7846,0.671,0.6908,0.7515,0.6563
"Exp24",0.916,0.6513,0.4868,0.7515,0.6517
"Exp25",0.9092,0.6513,0.7002,0.7545,0.6477
"Exp26",0.916,0.6513,0.5622,0.7515,0.653
"Exp27",0.916,0.6513,0.4868,0.7515,0.6517
"Exp28",0.916,0.6737,0.7136,0.7515,0.6497
"Exp29",0.9092,0.6513,0.7002,0.7545,0.965
"Exp30",0.8279,0.6295,0.6534,0.8274,0.9425
"Exp31",0.8415,0.6567,0.4939,0.6643,0.6371
"Exp32",0.8415,0.6567,0.4939,0.7569,0.6371
"Exp33",0.7114,0.6751,0.7382,0.7545,0.8381
"Exp34",0.7642,0.9565,0.7136,0.8716,0.6497
"Exp35",0.771,0.6581,0.7522,0.629,0.965
"Exp36",0.794,0.7192,0.7136,0.7545,0.6543
"Exp37",0.771,0.6581,0.7195,0.7545,0.965
"Exp38",0.6951,0.6553,0.7434,0.7545,0.965
"Exp39",0.771,0.6581,0.7931,0.7545,0.8843
"Exp40",0.855,0.6581,0.7931,0.6326,0.6999
"Exp41",0.7121,0.6751,0.7475,0.7545,0.6563
"Exp42",0.9404,0.7546,0.7452,0.7545,0.8103
"Exp43",0.7751,0.7736,0.6534,0.8471,0.803
"Exp44",0.8049,0.7281,0.526,0.7593,0.9346
"Exp45",0.7453,0.6649,0.4956,0.6577,0.8169
"Exp46",0.7344,0.6717,0.5009,0.7981,0.6742
"Exp47",0.7575,0.6914,0.5032,0.8011,0.9795
"Exp48",0.7412,0.6717,0.4927,0.7748,0.6662
"Exp49",0.9404,0.6703,0.4997,0.8011,0.9603
"Exp50",0.7412,0.6717,0.4927,0.7748,0.9716
"Exp51",0.7615,0.6703,0.4974,0.8005,0.655
"Exp52",0.7412,0.6676,0.5102,0.7981,0.6629
"Exp53",0.7412,0.6717,0.495,0.7748,0.6629
"Exp54",0.7371,0.6649,0.4927,0.6434,0.6689
"Exp55",0.7615,0.6703,0.495,0.7981,0.655
"Exp56",0.7981,0.6798,0.6534,0.6428,0.6477
"Exp57",0.7981,0.6771,0.4956,0.7521,0.9346
"Exp58",0.7981,0.6445,0.5003,0.7521,0.6312
"Exp59",0.7344,0.7192,0.4927,0.825,0.9795
"Exp60",0.6504,0.69,0.7434,0.8327,0.6675
"Exp61",0.7344,0.6635,0.4944,0.764,0.9795
"Exp62",0.9404,0.6213,0.7171,0.9349,0.6642
"Exp63",0.9404,0.6615,0.6207,0.6481,0.7032
"Exp64",0.7615,0.6635,0.7522,0.9349,0.9716
"Exp65",0.9404,0.6649,0.4944,0.6326,0.7013
"Exp66",0.7371,0.6649,0.6037,0.764,0.9716
"Exp67",0.9404,0.6649,0.4915,0.6326,0.8262
"Exp68",0.7615,0.6275,0.4915,0.8303,0.8982
"Exp69",0.7507,0.7879,0.6534,0.8303,0.9425
"Exp70",0.8049,0.9368,0.6721,0.7569,0.9147
"Exp71",0.7507,0.6798,0.4956,0.6965,0.6371
"Exp72",0.7412,0.7084,0.7399,0.8053,0.655
"Exp73",0.8753,0.6723,0.7165,0.7515,0.965
"Exp74",0.7412,0.671,0.6973,0.7676,0.6523
"Exp75",0.7398,0.671,0.6937,0.7515,0.6629
"Exp76",0.7629,0.6744,0.6879,0.8321,0.8143
"Exp77",0.893,0.8103,0.7165,0.8041,0.9147
"Exp78",0.7412,0.6873,0.7452,0.9349,0.6543
"Exp79",0.6978,0.9565,0.7428,0.7515,0.6537
"Exp80",0.9295,0.6737,0.6657,0.7515,0.6563
"Exp81",0.8035,0.5167,0.7206,0.8363,0.9022
"Exp82",0.7412,0.671,0.7165,0.7748,0.6537
"Exp83",0.8035,0.5167,0.7206,0.8363,0.9022
"Exp84",0.7385,0.6553,0.7154,0.7497,0.6999
"Exp85",0.8035,0.5167,0.5412,0.8363,0.883
"Exp86",0.8103,0.6737,0.6937,0.8716,0.8196
"Exp87",0.8035,0.5167,0.5412,0.8363,0.883
