"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.8569,0.8236,0.9255,0.8649,0.8492
"Exp02",0.7192,0.7961,0.9352,0.8859,0.9413
"Exp03",0.8569,0.8236,0.9255,0.8649,0.8492
"Exp04",0.7192,0.7961,0.9352,0.8859,0.9413
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.866,0.9388,0.9146,0.8871,0.924
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.8623,0.902,0.9146,0.9229,0.924
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.8623,0.9388,0.8764,0.9223,0.9048
"Exp21",0.8478,0.9388,0.9146,0.9223,0.9048
"Exp22",0.8454,0.9388,0.9146,0.9223,0.9048
"Exp23",0.8478,0.9388,0.9146,0.9223,0.9048
"Exp24",0.8454,0.9388,0.9128,0.9223,0.9048
"Exp25",0.8623,0.9388,0.9146,0.9223,0.9048
"Exp26",0.8454,0.9388,0.9146,0.9223,0.9048
"Exp27",0.8454,0.9388,0.9146,0.9223,0.9048
"Exp28",0.8623,0.9388,0.894,0.9223,0.9048
"Exp29",0.8623,0.9388,0.9146,0.9223,0.9048
"Exp30",0.8175,0.9608,0.8565,0.9223,0.9234
"Exp31",0.8466,0.9608,0.8431,0.9223,0.8912
"Exp32",0.8466,0.9608,0.8431,0.9223,0.8912
"Exp33",0.8623,0.9388,0.8601,0.9408,0.9048
"Exp34",0.7629,0.8359,0.9352,0.9408,0.9048
"Exp35",0.8454,0.9388,0.9352,0.9223,0.9048
"Exp36",0.7629,0.9388,0.9352,0.7866,0.9048
"Exp37",0.8454,0.8506,0.9352,0.9223,0.9048
"Exp38",0.8623,0.9388,0.8092,0.9408,0.9048
"Exp39",0.8454,0.9388,0.8092,0.9223,0.9048
"Exp40",0.8454,0.9388,0.9352,0.8038,0.9048
"Exp41",0.8623,0.9388,0.9146,0.9408,0.9048
"Exp42",0.8623,0.9388,0.9352,0.9408,0.7843
"Exp43",0.8175,0.9608,0.8407,0.9223,0.7874
"Exp44",0.8466,0.9608,0.8431,0.9223,0.7874
"Exp45",0.8466,0.9608,0.8431,0.8532,0.8912
"Exp46",0.8854,0.9241,0.8431,0.9223,0.9048
"Exp47",0.8854,0.9608,0.8565,0.9223,0.8931
"Exp48",0.9048,0.9608,0.7656,0.9235,0.9079
"Exp49",0.926,0.9608,0.8407,0.9408,0.924
"Exp50",0.8914,0.9608,0.9764,0.9235,0.9048
"Exp51",0.9048,0.9608,0.877,0.9031,0.9048
"Exp52",0.9048,0.9608,0.8589,0.9235,0.924
"Exp53",0.8854,0.9608,0.8595,0.9235,0.924
"Exp54",0.8478,0.9608,0.8431,0.9223,0.924
"Exp55",0.9127,0.9608,0.877,0.9031,0.9048
"Exp56",0.9127,0.9608,0.8407,0.9223,0.9234
"Exp57",0.8805,0.9608,0.8431,0.9223,0.9234
"Exp58",0.8805,0.9608,0.8431,0.9223,0.9234
"Exp59",0.8854,0.8579,0.8431,0.9223,0.924
"Exp60",0.906,0.9608,0.7929,0.8334,0.8931
"Exp61",0.9127,0.8506,0.831,0.905,0.924
"Exp62",0.926,0.9418,0.831,0.8742,0.9079
"Exp63",0.9127,0.9608,0.9412,0.8131,0.924
"Exp64",0.926,0.9608,0.8431,0.905,0.9796
"Exp65",0.9127,0.9608,0.8776,0.905,0.924
"Exp66",0.9127,0.9608,0.831,0.905,0.924
"Exp67",0.8854,0.9608,0.8431,0.9223,0.924
"Exp68",0.7987,0.9608,0.8565,0.8846,0.9796
"Exp69",0.9127,0.9608,0.8407,0.9223,0.8912
"Exp70",0.8805,0.9608,0.9188,0.9223,0.9234
"Exp71",0.8466,0.9608,0.9188,0.8532,0.9234
"Exp72",0.8805,0.9198,0.9316,0.9235,0.9048
"Exp73",0.9048,0.9198,0.8976,0.905,0.9221
"Exp74",0.9048,0.9608,0.9358,0.905,0.9048
"Exp75",0.8623,0.902,0.9146,0.9408,0.9048
"Exp76",0.8793,0.9094,0.8734,0.9062,0.8844
"Exp77",0.8805,0.8855,0.8928,0.7884,0.9042
"Exp78",0.8478,0.943,0.9352,0.9229,0.9048
"Exp79",0.8623,0.8506,0.9358,0.9408,0.9221
"Exp80",0.8623,0.9388,0.8764,0.9223,0.9048
"Exp81",0.8787,0.9075,0.685,0.8834,0.8121
"Exp82",0.8623,0.9388,0.9146,0.9229,0.9048
"Exp83",0.8787,0.9075,0.685,0.9389,0.8121
"Exp84",0.8454,0.9608,0.8601,0.9408,0.9048
"Exp85",0.8787,0.9075,0.6929,0.8834,0.8121
"Exp86",0.8623,0.9388,0.9358,0.9229,0.9221
"Exp87",0.8787,0.9075,0.6929,0.9389,0.8121
