"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.9573,0.9643,0.9729,0.839,0.7901
"Exp02",0.8653,0.8417,0.8768,0.8188,0.95
"Exp03",0.9573,0.9643,0.9729,0.839,0.7901
"Exp04",0.8653,0.8417,0.8768,0.8188,0.95
"Exp05",0.36,0.38,0.39,0.35,0.35
"Exp06",0.36,0.38,0.39,0.35,0.35
"Exp07",0.6856,0.6869,0.697,0.35,0.6768
"Exp08",0.36,0.38,0.39,0.35,0.35
"Exp09",0.36,0.38,0.39,0.35,0.35
"Exp10",0.6856,0.6869,0.697,0.35,0.871
"Exp11",0.36,0.38,0.39,0.35,0.35
"Exp12",0.36,0.38,0.39,0.35,0.35
"Exp13",0.9521,0.9881,0.9762,0.9561,0.9539
"Exp14",0.36,0.38,0.39,0.35,0.35
"Exp15",0.36,0.38,0.39,0.35,0.35
"Exp16",0.6926,0.9881,0.9762,0.9561,0.9539
"Exp17",0.569,0.6919,0.3373,0.6684,0.5137
"Exp18",0.569,0.6919,0.697,0.6684,0.5137
"Exp19",0.569,0.6919,0.697,0.6684,0.5137
"Exp20",0.9573,0.9667,0.9654,0.9532,0.9616
"Exp21",0.95,0.957,0.9654,0.9439,0.9709
"Exp22",0.9573,0.9667,0.9654,0.9532,0.9616
"Exp23",0.95,0.957,0.9654,0.9439,0.9621
"Exp24",0.9573,0.9667,0.9654,0.9532,0.9616
"Exp25",0.9573,0.9667,0.9654,0.9532,0.9524
"Exp26",0.9573,0.9667,0.9654,0.9532,0.9616
"Exp27",0.9573,0.9667,0.9654,0.9532,0.9616
"Exp28",0.9573,0.9667,0.9654,0.9532,0.9616
"Exp29",0.9573,0.9667,0.9654,0.9532,0.9524
"Exp30",0.9431,0.9479,0.9575,0.9616,0.9442
"Exp31",0.9431,0.9479,0.9575,0.9616,0.955
"Exp32",0.9431,0.9479,0.7598,0.9616,0.955
"Exp33",0.95,0.8615,0.7598,0.9532,0.9333
"Exp34",0.95,0.957,0.7598,0.9439,0.9621
"Exp35",0.95,0.977,0.7598,0.9532,0.9621
"Exp36",0.95,0.957,0.7598,0.9439,0.7471
"Exp37",0.95,0.8615,0.9575,0.9532,0.9621
"Exp38",0.95,0.977,0.9575,0.9532,0.9621
"Exp39",0.95,0.977,0.7598,0.9532,0.9333
"Exp40",0.95,0.8615,0.9575,0.9532,0.9333
"Exp41",0.95,0.977,0.7598,0.9532,0.9333
"Exp42",0.95,0.8615,0.9575,0.9532,0.9621
"Exp43",0.9431,0.8615,0.7598,0.9616,0.9442
"Exp44",0.9431,0.9479,0.9575,0.9616,0.955
"Exp45",0.9431,0.9479,0.9575,0.9616,0.955
"Exp46",0.9573,0.9479,0.9654,0.9452,0.9333
"Exp47",0.9573,0.9394,0.9762,0.9452,0.9333
"Exp48",0.9573,0.9479,0.9654,0.9452,0.9333
"Exp49",0.9573,0.9479,0.7709,0.9452,0.9402
"Exp50",0.9573,0.957,0.9654,0.9532,0.963
"Exp51",0.9573,0.957,0.9654,0.9452,0.963
"Exp52",0.9573,0.9479,0.9654,0.9452,0.963
"Exp53",0.9573,0.957,0.9654,0.9452,0.9402
"Exp54",0.9573,0.957,0.7656,0.9532,0.963
"Exp55",0.9573,0.957,0.9654,0.9452,0.963
"Exp56",0.9573,0.9479,0.9575,0.9616,0.9442
"Exp57",0.9573,0.9394,0.9575,0.9616,0.955
"Exp58",0.9431,0.9394,0.9575,0.9616,0.955
"Exp59",0.95,0.8615,0.9654,0.9532,0.9801
"Exp60",0.95,0.957,0.9762,0.9532,0.9801
"Exp61",0.95,0.7923,0.7146,0.9532,0.9801
"Exp62",0.95,0.957,0.7598,0.9532,0.9333
"Exp63",0.95,0.957,0.7937,0.9532,0.9801
"Exp64",0.95,0.957,0.9762,0.8993,0.9709
"Exp65",0.95,0.957,0.7598,0.9532,0.963
"Exp66",0.95,0.7923,0.9654,0.9532,0.9402
"Exp67",0.95,0.957,0.7598,0.9532,0.9801
"Exp68",0.95,0.7923,0.9762,0.9532,0.9402
"Exp69",0.9431,0.7437,0.7598,0.9616,0.9442
"Exp70",0.9431,0.9394,0.9575,0.9616,0.9899
"Exp71",0.9431,0.9394,0.9575,0.9616,0.9899
"Exp72",0.9573,0.9056,0.9654,0.9902,0.9709
"Exp73",0.9573,0.9479,0.9574,0.9437,0.963
"Exp74",0.9573,0.9479,0.9574,0.9444,0.9709
"Exp75",0.9573,0.957,0.9654,0.9439,0.9532
"Exp76",0.9465,0.8398,0.9654,0.9487,0.946
"Exp77",0.9573,0.977,0.7879,0.9437,0.9621
"Exp78",0.9649,0.977,0.8121,0.9621,0.9899
"Exp79",0.95,0.9479,0.9654,0.9439,0.9532
"Exp80",0.9573,0.9667,0.9654,0.9532,0.9616
"Exp81",0.9465,0.7162,0.788,0.9722,0.8615
"Exp82",0.9573,0.9479,0.9654,0.9439,0.9532
"Exp83",0.9465,0.7162,0.788,0.9722,0.8615
"Exp84",0.95,0.977,0.7598,0.9532,0.9621
"Exp85",0.9465,0.8146,0.726,0.9722,0.8615
"Exp86",0.95,0.9479,0.9654,0.9439,0.7023
"Exp87",0.9465,0.8146,0.726,0.9722,0.9058
