"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.2972,0.3427,0.2422,0.4376,0.3947
"Exp02",0.3574,0.3547,0.3941,0.4697,0.2747
"Exp03",0.2972,0.3427,0.2422,0.4376,0.3947
"Exp04",0.3574,0.3547,0.3941,0.4697,0.2747
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.5334,0.5077,0.5213,0.5072,0.4872
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.4513,0.5077,0.5213,0.5072,0.4872
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",NA,NA,NA,NA,NA
"Exp20",0.5554,0.5028,0.5231,0.5229,0.4823
"Exp21",0.5544,0.4994,0.5231,0.5205,0.4894
"Exp22",0.5554,0.5028,0.5231,0.5229,0.4823
"Exp23",0.5544,0.4994,0.5231,0.5205,0.4902
"Exp24",0.5554,0.5028,0.5231,0.5229,0.4823
"Exp25",0.5554,0.5028,0.5231,0.5229,0.4803
"Exp26",0.5554,0.5028,0.5231,0.5229,0.4823
"Exp27",0.5554,0.5028,0.5231,0.5229,0.4823
"Exp28",0.5554,0.5028,0.5231,0.5229,0.4823
"Exp29",0.5554,0.5028,0.5231,0.5229,0.4803
"Exp30",0.5484,0.4924,0.522,0.5213,0.4647
"Exp31",0.5484,0.4924,0.522,0.5213,0.4728
"Exp32",0.5484,0.4924,0.4588,0.5213,0.4728
"Exp33",0.5544,0.4911,0.4588,0.5229,0.4665
"Exp34",0.5544,0.4994,0.4588,0.5205,0.4902
"Exp35",0.5544,0.5065,0.4588,0.5229,0.4902
"Exp36",0.5544,0.4994,0.4588,0.5205,0.4234
"Exp37",0.5544,0.5229,0.522,0.5229,0.4902
"Exp38",0.5544,0.5065,0.522,0.5229,0.4902
"Exp39",0.5544,0.5065,0.4588,0.5229,0.4665
"Exp40",0.5544,0.4595,0.522,0.5229,0.4665
"Exp41",0.5544,0.5065,0.4588,0.5229,0.4665
"Exp42",0.5544,0.5229,0.522,0.5229,0.4902
"Exp43",0.5484,0.5229,0.4588,0.5213,0.4647
"Exp44",0.5484,0.4924,0.522,0.5213,0.4728
"Exp45",0.5484,0.4924,0.522,0.5213,0.4728
"Exp46",0.5554,0.4892,0.5231,0.5196,0.4665
"Exp47",0.5554,0.4798,0.5213,0.5196,0.4665
"Exp48",0.5554,0.4892,0.5231,0.5196,0.4665
"Exp49",0.5554,0.4892,0.4546,0.5196,0.4684
"Exp50",0.5554,0.4994,0.5231,0.5229,0.4808
"Exp51",0.5554,0.4994,0.5231,0.5196,0.4808
"Exp52",0.5554,0.4892,0.5231,0.5196,0.4808
"Exp53",0.5554,0.4994,0.5231,0.5196,0.4684
"Exp54",0.5554,0.4994,0.4562,0.5229,0.4808
"Exp55",0.5554,0.4994,0.5231,0.5196,0.4808
"Exp56",0.5554,0.4924,0.522,0.5213,0.4647
"Exp57",0.5554,0.4795,0.522,0.5213,0.4728
"Exp58",0.5484,0.4795,0.522,0.5213,0.4728
"Exp59",0.5544,0.5229,0.5231,0.5229,0.4899
"Exp60",0.5544,0.4994,0.5213,0.5229,0.4899
"Exp61",0.5544,0.5896,0.3531,0.5229,0.4899
"Exp62",0.5544,0.4994,0.4588,0.5229,0.4665
"Exp63",0.5544,0.4994,0.4312,0.5229,0.4899
"Exp64",0.5544,0.4994,0.5213,0.4969,0.4894
"Exp65",0.5544,0.4994,0.4588,0.5229,0.4808
"Exp66",0.5544,0.5896,0.5231,0.5229,0.4684
"Exp67",0.5544,0.4994,0.4588,0.5229,0.4899
"Exp68",0.5544,0.5896,0.5213,0.5229,0.4684
"Exp69",0.5484,0.4828,0.4588,0.5213,0.4647
"Exp70",0.5484,0.4795,0.522,0.5213,0.4893
"Exp71",0.5484,0.4795,0.522,0.5213,0.4893
"Exp72",0.5554,0.4492,0.5231,0.5187,0.4894
"Exp73",0.5554,0.4943,0.5151,0.5162,0.4808
"Exp74",0.5554,0.4943,0.5184,0.5084,0.4894
"Exp75",0.5554,0.4994,0.5231,0.5205,0.4791
"Exp76",0.549,0.4386,0.5231,0.4932,0.4847
"Exp77",0.5554,0.5065,0.4587,0.5165,0.4902
"Exp78",0.5501,0.5065,0.4331,0.517,0.4893
"Exp79",0.5544,0.4943,0.5231,0.5205,0.4791
"Exp80",0.5554,0.5028,0.5231,0.5229,0.4823
"Exp81",0.549,0.3484,0.4399,0.5183,0.4112
"Exp82",0.5554,0.4943,0.5231,0.5205,0.4791
"Exp83",0.549,0.3484,0.4399,0.5183,0.4112
"Exp84",0.5544,0.5065,0.4588,0.5229,0.4902
"Exp85",0.549,0.3555,0.3331,0.5183,0.4112
"Exp86",0.5544,0.4943,0.5231,0.5205,0.4096
"Exp87",0.549,0.3555,0.3331,0.5183,0.4253
