"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.7273,0.8934,0.8404,0.8166,0.8603
"Exp02",0.7162,0.8784,0.8212,0.8045,0.9134
"Exp03",0.7273,0.8934,0.8404,0.8166,0.8603
"Exp04",0.7162,0.8784,0.8212,0.8045,0.9134
"Exp05",NA,NA,NA,NA,NA
"Exp06",NA,NA,NA,NA,NA
"Exp07",NA,NA,NA,NA,NA
"Exp08",NA,NA,NA,NA,NA
"Exp09",NA,NA,NA,NA,NA
"Exp10",NA,NA,NA,NA,NA
"Exp11",NA,NA,NA,NA,NA
"Exp12",NA,NA,NA,NA,NA
"Exp13",0.9026,0.8597,0.8751,0.7917,0.8851
"Exp14",NA,NA,NA,NA,NA
"Exp15",NA,NA,NA,NA,NA
"Exp16",0.9026,0.8597,0.8751,0.7917,0.8864
"Exp17",NA,NA,NA,NA,NA
"Exp18",NA,NA,NA,NA,NA
"Exp19",0.7114,0.6752,0.7481,NA,0.5289
"Exp20",0.9395,0.9124,0.8606,0.8104,0.9259
"Exp21",0.9228,0.8961,0.8606,0.8439,0.9094
"Exp22",0.9395,0.9112,0.8606,0.8104,0.9094
"Exp23",0.9228,0.8797,0.8606,0.8439,0.6659
"Exp24",0.9395,0.9112,0.8606,0.8104,0.9094
"Exp25",0.9395,0.9112,0.8471,0.6539,0.8885
"Exp26",0.9395,0.9112,0.8606,0.8104,0.9094
"Exp27",0.6732,0.9112,0.8606,0.8104,0.9094
"Exp28",0.9395,0.9124,0.8606,0.8104,0.9259
"Exp29",0.9395,0.9112,0.8471,0.831,0.8885
"Exp30",0.9395,0.8953,0.8478,0.8664,0.9259
"Exp31",0.9395,0.8953,0.8478,0.8223,0.8659
"Exp32",0.9395,0.8953,0.8478,0.8223,0.8659
"Exp33",0.9395,0.9124,0.8606,0.831,0.9094
"Exp34",0.8919,0.9112,0.8606,0.831,0.9094
"Exp35",0.9395,0.9112,0.8759,0.831,0.9094
"Exp36",0.9228,0.9112,0.8606,0.6362,0.9259
"Exp37",0.9395,0.9112,0.8753,0.831,0.9094
"Exp38",0.9395,0.9112,0.8915,0.831,0.9094
"Exp39",0.9395,0.9112,0.8759,0.831,0.9094
"Exp40",0.9395,0.9112,0.8759,0.831,0.9094
"Exp41",0.9395,0.7057,0.8759,0.831,0.6374
"Exp42",0.9395,0.9112,0.8915,0.831,0.6374
"Exp43",0.6532,0.8657,0.861,0.7736,0.8659
"Exp44",0.9395,0.8657,0.861,0.6753,0.6484
"Exp45",0.7103,0.8657,0.861,0.8223,0.6484
"Exp46",0.7427,0.8953,0.8753,0.8145,0.8885
"Exp47",0.6732,0.7548,0.8606,0.76,0.8685
"Exp48",0.9399,0.7676,0.8751,0.7501,0.9051
"Exp49",0.9207,0.875,0.8471,0.7948,0.8885
"Exp50",0.9399,0.891,0.8751,0.6263,0.8685
"Exp51",0.6742,0.8765,0.861,0.7815,0.8885
"Exp52",0.9399,0.891,0.8751,0.7883,0.9051
"Exp53",0.9399,0.891,0.8606,0.7883,0.8851
"Exp54",0.9395,0.9112,0.8753,0.8145,0.8885
"Exp55",0.8926,0.8765,0.861,0.7435,0.8685
"Exp56",0.9395,0.9124,0.861,0.7873,0.8659
"Exp57",0.6558,0.8953,0.861,0.8223,0.9259
"Exp58",0.9399,0.8953,0.861,0.8223,0.9259
"Exp59",0.9395,0.8801,0.8753,0.8145,0.8885
"Exp60",0.6792,0.8801,0.8753,0.7848,0.6643
"Exp61",0.6997,0.7226,0.861,0.7329,0.7115
"Exp62",0.9207,0.7963,0.7174,0.703,0.8685
"Exp63",0.7394,0.9124,0.7174,0.7329,0.7135
"Exp64",0.7726,0.7717,0.7943,0.7848,0.7123
"Exp65",0.7861,0.9124,0.7174,0.7739,0.7115
"Exp66",0.7838,0.9124,0.8606,0.7705,0.7115
"Exp67",0.9207,0.8801,0.8753,0.8145,0.8885
"Exp68",0.8315,0.9124,0.7943,0.7146,0.9094
"Exp69",0.9399,0.7562,0.861,0.7391,0.8659
"Exp70",0.7045,0.8657,0.861,0.8223,0.9259
"Exp71",0.722,0.8657,0.861,0.7077,0.6484
"Exp72",0.6779,0.9112,0.8751,0.8508,0.9051
"Exp73",0.9606,0.9112,0.8915,0.852,0.885
"Exp74",0.9443,0.8953,0.6696,0.8439,0.8885
"Exp75",0.8919,0.8953,0.8606,0.831,0.9094
"Exp76",0.8305,0.7212,0.9066,0.8064,0.8918
"Exp77",0.9395,0.7191,0.8753,0.6494,0.6506
"Exp78",0.9608,0.8801,0.8905,0.8727,0.8702
"Exp79",0.8919,0.9112,0.8471,0.7736,0.9051
"Exp80",0.9395,0.9124,0.8753,0.8104,0.9094
"Exp81",0.7995,0.7475,0.6478,0.6358,0.7304
"Exp82",0.907,0.8953,0.8753,0.8727,0.6506
"Exp83",0.7995,0.7475,0.6478,0.6942,0.7304
"Exp84",0.9395,0.7012,0.7174,0.831,0.9094
"Exp85",0.8073,0.7548,0.6573,0.6416,0.6182
"Exp86",0.8919,0.8953,0.8753,0.831,0.9259
"Exp87",0.8073,0.7548,0.6573,0.6416,0.7506
