"ExpID","off1","off2","off3","off4","off5"
"Exp01",1.1093,0.8203,0.7938,0.9181,0.9182
"Exp02",1.0972,0.8422,0.831,0.9351,0.9153
"Exp03",1.1093,0.8203,0.7938,0.9181,0.9182
"Exp04",1.0972,0.8422,0.831,0.9351,0.9153
"Exp05",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp06",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp07",7.0595,6.3006,6.3051,6.2807,6.3386
"Exp08",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp09",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp10",5.4598,2.0036,4.2819,4.3553,4.0522
"Exp11",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp12",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp13",0.8835,0.8085,0.8204,0.9397,0.9224
"Exp14",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp15",7.0336,6.3196,6.3102,6.2539,6.2843
"Exp16",0.9063,0.8041,0.813,0.9391,0.9275
"Exp17",3.2554,6.3102,6.3133,6.2719,6.3003
"Exp18",1.4597,6.3102,6.3133,6.2719,6.3003
"Exp19",1.4466,1.5348,1.3949,6.2719,3.6959
"Exp20",0.8055,0.783,0.8007,0.895,0.8969
"Exp21",0.8406,0.8479,0.8327,0.9175,0.9068
"Exp22",0.8109,0.7874,0.8003,0.9024,0.8885
"Exp23",0.8391,0.8335,0.8371,0.9181,1.3642
"Exp24",0.8107,0.7864,0.8001,0.9027,0.8897
"Exp25",0.8039,0.8018,0.8269,1.3292,0.8839
"Exp26",0.8112,0.7877,0.7999,0.9021,0.8884
"Exp27",1.231,0.7867,0.8008,0.9022,0.8901
"Exp28",0.8056,0.7866,0.8003,0.895,0.897
"Exp29",0.8042,0.8016,0.8278,0.8997,0.8837
"Exp30",0.8268,0.8244,0.821,0.9478,0.9384
"Exp31",0.8253,0.8239,0.8402,0.9331,0.9776
"Exp32",0.8321,0.8237,0.8397,0.9314,0.9445
"Exp33",0.8019,0.7742,0.7842,0.8891,0.8749
"Exp34",0.8369,0.8181,0.8005,0.9139,0.8906
"Exp35",0.803,0.7836,0.7971,0.8936,0.8752
"Exp36",0.8321,0.8102,0.808,1.2985,0.8988
"Exp37",0.803,0.7835,0.7814,0.8939,0.8754
"Exp38",0.8062,0.7864,0.8108,0.8961,0.8782
"Exp39",0.803,0.7839,0.7971,0.8934,0.8752
"Exp40",0.8031,0.7836,0.7971,0.8937,0.8755
"Exp41",0.802,1.2456,0.7972,0.8892,1.3433
"Exp42",0.8061,0.7864,0.8105,0.8962,1.3461
"Exp43",1.2406,0.8366,0.7878,0.9519,0.9133
"Exp44",0.8097,0.8185,0.7949,1.341,1.3861
"Exp45",1.2346,0.8184,0.7948,0.9446,1.3751
"Exp46",1.2232,1.1894,0.8411,0.9086,0.9074
"Exp47",1.402,1.3165,0.8526,1.0148,0.9051
"Exp48",0.8702,1.6148,0.8293,0.9419,0.9229
"Exp49",1.0772,0.9782,0.8583,0.9401,0.905
"Exp50",0.8697,0.8435,0.8298,1.6656,0.9155
"Exp51",1.4691,0.8376,0.8657,0.9369,0.899
"Exp52",0.869,0.845,0.8266,0.9149,0.923
"Exp53",0.869,0.8464,0.8297,0.9161,0.9168
"Exp54",0.8585,0.8251,0.8311,0.9095,0.9076
"Exp55",0.9868,0.841,0.8664,1.008,0.9069
"Exp56",0.8528,0.8766,0.8135,0.9545,0.929
"Exp57",1.2809,0.8036,0.8478,0.9379,0.9429
"Exp58",0.8687,0.803,0.8464,0.9388,0.9431
"Exp59",0.828,0.83,0.7892,0.8979,0.9006
"Exp60",1.2989,0.9361,0.8011,1.4525,1.4554
"Exp61",1.339,1.3272,0.8275,0.9983,1.5311
"Exp62",1.2585,1.1936,1.2208,1.0228,0.8909
"Exp63",1.2443,0.8915,1.2077,0.9997,1.526
"Exp64",1.3862,1.4367,1.3835,1.4348,1.5668
"Exp65",1.4617,0.8929,1.2078,0.9573,1.5305
"Exp66",1.2665,0.891,0.8075,0.9372,1.5309
"Exp67",0.9003,0.8314,0.7893,0.8964,0.9007
"Exp68",1.0478,1.0115,1.3839,1.5166,0.8895
"Exp69",0.8728,1.3158,0.7861,1.0075,0.9072
"Exp70",1.2618,0.8186,0.7939,0.9404,0.9164
"Exp71",1.2741,0.8178,0.7971,1.2613,1.3853
"Exp72",1.2622,1.1491,1.0137,1.0451,1.0094
"Exp73",0.8209,0.8759,0.8128,0.9202,0.9414
"Exp74",0.8416,0.8796,1.276,0.9222,0.8979
"Exp75",0.8446,0.8599,0.8031,0.9249,0.9001
"Exp76",0.9002,1.3155,0.8266,0.9657,0.9469
"Exp77",0.8178,1.2648,0.794,1.3084,1.3485
"Exp78",0.8349,0.864,0.8119,0.9418,0.9059
"Exp79",0.8745,0.8339,0.8086,0.934,0.9096
"Exp80",0.8055,0.7797,0.7925,0.8947,0.8847
"Exp81",1.3689,1.8113,1.8326,1.62,1.8498
"Exp82",0.859,0.8676,0.8049,0.9387,1.353
"Exp83",1.3689,1.8113,1.8326,1.5656,1.8498
"Exp84",0.8015,1.2382,1.1972,0.8868,0.8722
"Exp85",1.2896,1.5066,1.6773,1.5413,1.7212
"Exp86",0.8572,0.8442,0.795,0.9296,0.912
"Exp87",1.2896,1.5066,1.6773,1.5413,1.7747
