"ExpID","off1","off2","off3","off4","off5"
"Exp01",0.6372,0.8585,0.7902,0.7614,0.8173
"Exp02",0.6253,0.8393,0.7673,0.7429,0.8857
"Exp03",0.6372,0.8585,0.7902,0.7614,0.8173
"Exp04",0.6253,0.8393,0.7673,0.7429,0.8857
"Exp05",0,0,0,0,0
"Exp06",0,0,0,0,0
"Exp07",-0.0025,-0.0019,0.0026,0,0
"Exp08",0,0,0,0,0
"Exp09",0,0,0,0,0
"Exp10",-0.0025,0.4878,-1e-04,0,0.0018
"Exp11",0,0,0,0,0
"Exp12",0,0,0,0,0
"Exp13",0.8698,0.8135,0.8349,0.7244,0.848
"Exp14",0,0,0,0,0
"Exp15",0,0,0,0,0
"Exp16",0.8698,0.8135,0.8349,0.7244,0.8491
"Exp17",0.7796,-0.0022,0.0089,0.0018,0.0055
"Exp18",0.7644,-0.0022,0.0089,0.0018,0.0055
"Exp19",0.6061,0.5419,0.6499,NA,0.2768
"Exp20",0.9191,0.8827,0.8157,0.749,0.9018
"Exp21",0.8969,0.861,0.8157,0.7934,0.8799
"Exp22",0.9191,0.8816,0.8157,0.749,0.8799
"Exp23",0.8969,0.8394,0.8157,0.7934,0.5391
"Exp24",0.9191,0.8816,0.8157,0.749,0.8799
"Exp25",0.9191,0.8816,0.7978,0.5225,0.8524
"Exp26",0.9191,0.8816,0.8157,0.749,0.8799
"Exp27",0.5541,0.8816,0.8157,0.749,0.8799
"Exp28",0.9191,0.8827,0.8157,0.749,0.9018
"Exp29",0.9191,0.8816,0.7978,0.7761,0.8524
"Exp30",0.9191,0.8606,0.7985,0.8224,0.9018
"Exp31",0.9191,0.8606,0.7985,0.7631,0.8226
"Exp32",0.9191,0.8606,0.7985,0.7631,0.8226
"Exp33",0.9191,0.8827,0.8157,0.7761,0.8799
"Exp34",0.8558,0.8816,0.8157,0.7761,0.8799
"Exp35",0.9191,0.8816,0.8356,0.7761,0.8799
"Exp36",0.8969,0.8816,0.8157,0.4987,0.9018
"Exp37",0.9191,0.8816,0.8351,0.7761,0.8799
"Exp38",0.9191,0.8816,0.8562,0.7761,0.8799
"Exp39",0.9191,0.8816,0.8356,0.7761,0.8799
"Exp40",0.9191,0.8816,0.8356,0.7761,0.8799
"Exp41",0.9191,0.5945,0.8356,0.7761,0.5027
"Exp42",0.9191,0.8816,0.8562,0.7761,0.5027
"Exp43",0.5283,0.8217,0.8161,0.7003,0.8226
"Exp44",0.9191,0.8217,0.8161,0.547,0.5164
"Exp45",0.5994,0.8217,0.8161,0.7631,0.5164
"Exp46",0.6465,0.8606,0.8351,0.7534,0.8524
"Exp47",0.5541,0.6715,0.8157,0.6807,0.826
"Exp48",0.9194,0.6754,0.8349,0.6689,0.8744
"Exp49",0.8938,0.8336,0.7978,0.7271,0.8524
"Exp50",0.9194,0.8547,0.8349,0.4804,0.826
"Exp51",0.5553,0.8349,0.8161,0.71,0.8524
"Exp52",0.9194,0.8547,0.8349,0.7194,0.8744
"Exp53",0.9194,0.8547,0.8157,0.7194,0.848
"Exp54",0.9191,0.8816,0.8351,0.7534,0.8524
"Exp55",0.8564,0.8349,0.8161,0.6558,0.826
"Exp56",0.9191,0.8827,0.8161,0.7183,0.8226
"Exp57",0.5317,0.8606,0.8161,0.7631,0.9018
"Exp58",0.9194,0.8606,0.8161,0.7631,0.9018
"Exp59",0.9191,0.8406,0.8351,0.7534,0.8524
"Exp60",0.5616,0.8406,0.8351,0.6955,0.5364
"Exp61",0.5885,0.6176,0.8161,0.6448,0.5965
"Exp62",0.8938,0.7278,0.6069,0.603,0.826
"Exp63",0.6421,0.8827,0.6069,0.6448,0.5992
"Exp64",0.6803,0.681,0.7089,0.6955,0.5973
"Exp65",0.6986,0.8827,0.6069,0.6983,0.5965
"Exp66",0.7026,0.8827,0.8157,0.6949,0.5965
"Exp67",0.8938,0.8406,0.8351,0.7534,0.8524
"Exp68",0.7743,0.8827,0.7089,0.5972,0.8799
"Exp69",0.9194,0.6589,0.8161,0.6539,0.8226
"Exp70",0.5946,0.8217,0.8161,0.7631,0.9018
"Exp71",0.6168,0.8217,0.8161,0.5937,0.5164
"Exp72",0.5594,0.8816,0.8349,0.8023,0.8744
"Exp73",0.9474,0.8816,0.8562,0.8038,0.8479
"Exp74",0.9255,0.8606,0.5456,0.7934,0.8524
"Exp75",0.8558,0.8606,0.8157,0.7761,0.8799
"Exp76",0.7733,0.6126,0.8766,0.7394,0.856
"Exp77",0.9191,0.6121,0.8351,0.5158,0.5194
"Exp78",0.9476,0.8406,0.8552,0.8316,0.8281
"Exp79",0.8558,0.8816,0.7978,0.7003,0.8744
"Exp80",0.9191,0.8827,0.8351,0.749,0.8799
"Exp81",0.7304,0.6597,0.5183,0.5126,0.6405
"Exp82",0.8758,0.8606,0.8351,0.8316,0.5194
"Exp83",0.7304,0.6597,0.5183,0.5911,0.6405
"Exp84",0.9191,0.5889,0.6069,0.7761,0.8799
"Exp85",0.7412,0.6715,0.5301,0.5193,0.4873
"Exp86",0.8558,0.8606,0.8351,0.7761,0.9018
"Exp87",0.7412,0.6715,0.5301,0.5193,0.6677
