"ExpID","off1","off2","off3","off4","off5"
"Exp01",100,100,100,100,100
"Exp02",50,50,50,50,50
"Exp03",100,100,100,100,100
"Exp04",50,50,50,50,50
"Exp05",1,1,1,1,1
"Exp06",1,1,1,1,1
"Exp07",102,164,201,230,235
"Exp08",1,1,1,1,1
"Exp09",1,1,1,1,1
"Exp10",102,164,201,230,235
"Exp11",1,1,1,1,1
"Exp12",1,1,1,1,1
"Exp13",102,164,201,230,235
"Exp14",1,1,1,1,1
"Exp15",1,1,1,1,1
"Exp16",102,164,201,230,235
"Exp17",25,26,26,28,28
"Exp18",25,26,26,28,28
"Exp19",24,26,26,28,28
"Exp20",100,100,100,100,100
"Exp21",200,200,200,200,200
"Exp22",99,100,100,100,100
"Exp23",200,200,200,200,200
"Exp24",99,100,100,100,100
"Exp25",99,100,100,100,100
"Exp26",99,100,100,100,100
"Exp27",99,100,100,100,100
"Exp28",100,100,100,100,100
"Exp29",99,100,100,100,100
"Exp30",50,49,50,50,50
"Exp31",50,50,50,50,50
"Exp32",49,50,50,50,50
"Exp33",100,100,100,100,100
"Exp34",200,200,200,200,200
"Exp35",99,100,100,100,100
"Exp36",199,200,199,200,200
"Exp37",99,100,100,100,100
"Exp38",99,100,100,100,100
"Exp39",99,100,100,100,100
"Exp40",99,100,100,100,100
"Exp41",100,100,100,100,100
"Exp42",99,100,100,100,100
"Exp43",50,49,50,50,50
"Exp44",50,50,50,50,50
"Exp45",49,50,50,50,50
"Exp46",100,96,100,100,100
"Exp47",118,119,165,122,165
"Exp48",99,100,100,100,99
"Exp49",163,161,163,159,121
"Exp50",99,100,100,100,99
"Exp51",99,100,100,100,100
"Exp52",99,100,100,100,99
"Exp53",99,100,100,100,99
"Exp54",100,100,100,100,100
"Exp55",99,100,100,100,100
"Exp56",50,49,50,50,50
"Exp57",50,50,50,50,50
"Exp58",49,50,50,50,50
"Exp59",100,100,100,100,100
"Exp60",166,164,165,165,166
"Exp61",99,100,100,100,99
"Exp62",165,161,118,159,165
"Exp63",99,100,100,100,99
"Exp64",99,100,100,100,100
"Exp65",99,100,100,100,99
"Exp66",99,100,100,100,99
"Exp67",100,100,100,100,100
"Exp68",99,100,100,100,100
"Exp69",50,49,50,50,50
"Exp70",50,50,50,50,50
"Exp71",49,50,50,50,50
"Exp72",100,100,100,100,100
"Exp73",100,100,100,100,100
"Exp74",500,500,500,500,500
"Exp75",490,500,500,500,500
"Exp76",100,100,100,100,100
"Exp77",100,100,100,100,100
"Exp78",500,500,500,500,500
"Exp79",493,500,500,500,500
"Exp80",100,100,100,100,100
"Exp81",100,100,100,100,100
"Exp82",500,500,500,500,500
"Exp83",500,500,500,500,500
"Exp84",100,100,100,100,100
"Exp85",100,100,100,100,100
"Exp86",500,500,500,500,500
"Exp87",500,500,500,500,500
